"       ","                                   ","          ","         ","                   ","                            ","                        ","  ","                     "
"ITEM   ","WINE DESC                          ","          ","         "," PROD GRP          ","COUNTRY                     ","SUB REGION           CL ","CL","CLASS DESC           "
"00441  ","SUNQUICK ORANGE                    ","          ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00442  ","SUNQUICK MANDERIN                  ","          ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00443  ","SUNQUICK BLACKCURRANT              ","1         ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00444  ","SUNQUICK TROPICAL                  ","          ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00445  ","SUNQUICK MANGO                     ","          ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00446  ","SUNQUICK MIX                       ","1         ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00447  ","SUNQUICK PINEAPPLE                 ","1         ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00448  ","SUNQUICK PEACH/ORANGE              ","          ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00449  ","SUNQUICK APPLE                     ","1         ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
"ITEM   ","WINE DESC                          ","          ","         "," PROD GRP          ","COUNTRY                     ","SUB REGION           CL ","CL","CLASS DESC           "
"00450  ","SUNQUICK ORANGE                    ","          ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00451  ","SUNQUICK MANDARIN                  ","          ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00452  ","SUNQUICK PASSION FRUIT             ","          ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00453  ","SUNQUICK BLACKCURRANT              ","1         ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00454  ","SUNQUICK LEMON                     ","1         ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00455  ","SUNQUICK MANGO                     ","          ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00456  ","SUNQUICK EXOTIC                    ","          ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
"00457  ","SUNQUICK TROPICAL                  ","          ","         "," CONCENTRATED J    ","                            ","                     NA ","NA","NON ALC IMPORT       "
