"ITEM   ","WINE DESC                        ","BEER DESCR                        ","CU/ML BR ","CU/ML  ","U/C"," CASE UPC    "," BOTL UPC   ","      RETL UPC","SUB","SUB DESCRP     ","BRN","BRAND DESC    ","SP ","                "
"817368 ","12 AROMAS FAULT S KIT (ENGLISH)  ","12 AROMAS FAULTS KIT (ENGLISH)    ","         ","       ","  1","000000000000 ","000000817368","00000000000000","Z1Z","WINE AROMAS, I ","Z1Z","WINE AROMAS, I","M4 ","WINE AROMAS, INC"
"817481 ","12C FOOD PRECE SSOR - PINK       ","12C FOOD PRECESSOR - PINK         ","         ","       ","  1","000000000000 ","086279043993","00000000000000","Z27","CUISINART CORP ","Z27","CUISINART CORP","D4 ","ABBOUD TRADING C"
"817585 ","WINE BAG- CHEE RS VEST           ","WINE BAG- CHEERS VEST             ","         ","       ","  1","000000000000 ","077757434334","00000000000000","Z32","EPIC PRODUCTS  ","Z32","EPIC PRODUCTS ","D9 ","EPIC PRODUCTS IN"
"817590 ","WINE AWAY- EMER GECY KIT         ","WINE AWAY- EMERGECY KIT           ","         ","       ","  1","000000000000 ","088621660100","00000000000000","Z32","EPIC PRODUCTS  ","Z32","EPIC PRODUCTS ","D9 ","EPIC PRODUCTS IN"
"817665 ","VANDA ORCHIDS IN GLASS VASE      ","VANDA ORCHIDSIN GLASS VASE        ","         ","       ","  1","000000000000 ","000000817665","00000000000000","Z29","D&W SILKS, INC ","Z29","D&W SILKS, INC","D6 ","D&W SILKS, INC  "
"817752 ","BEADED RND PLA CEMAT SILVER      ","BEADED RND PLACEMAT SILVER        ","         ","       ","  1","000000000000 ","000000817752","00000000000000","Z90","SHIRALEAH      ","Z90","SHIRALEAH     ","J9 ","SHIRALEAH       "
"817868 ","S&P SOHO POD H OLDER WHITE       ","S&P SOHO POD HOLDER WHITE         ","         ","       ","  1","000000000000 ","319882363105","09319882363105","Z08","BAMBIS INTERNA ","Z08","BAMBIS INTERNA","B0 ","BAMBIS INTERNATI"
"817972 ","S&P BARISTA CO FFEE POD HOLDER   ","S&P BARISTA COFFEE POD HOLDER     ","         ","       ","  1","000000000000 ","319882362986","09319882362986","Z08","BAMBIS INTERNA ","Z08","BAMBIS INTERNA","B0 ","BAMBIS INTERNATI"
"818052 ","S&P BARISTA CO FFEE POD HOLDER   ","S&P BARISTA COFFEE POD HOLDER     ","         ","       ","  1","000000000000 ","319882362993","09319882362993","Z08","BAMBIS INTERNA ","Z08","BAMBIS INTERNA","B0 ","BAMBIS INTERNATI"
"818053 ","S&P BARISTA CO FFEE POD HOLDER   ","S&P BARISTA COFFEE POD HOLDER     ","         ","       ","  1","000000000000 ","319882363006","09319882363006","Z08","BAMBIS INTERNA ","Z08","BAMBIS INTERNA","B0 ","BAMBIS INTERNATI"
"818210 ","DECANTER CONE S TYLE             ","DECANTER CONE STYLE               ","         ","       ","  1","000000000000 ","886245003460","00000000000000","Z76","PRODUCTS SPECI ","Z76","PRODUCTS SPECI","I8 ","PRODUCTS SPECIAL"
"818240 ","PEONY IN BURGU NDY CRIMSON 26""   ","PEONY IN BURGUNDY CRIMSON 26""     ","         ","26""    ","  1","000000000000 ","033849629408","00000000000000","Z01","AFLORAL.COM    ","Z01","AFLORAL.COM   ","A0 ","AFLORAL.COM     "
"818304 ","S&P URBAN 30CM  ROUND PLATTER    ","S&P URBAN 30CM ROUND PLATTER      ","         ","30CM   ","  1","000000000000 ","319882366991","09319882366991","Z08","BAMBIS INTERNA ","Z08","BAMBIS INTERNA","B0 ","BAMBIS INTERNATI"
"818329 ","RED HEART CUP & SAUCER S/2       ","RED HEART CUP& SAUCER S/2         ","         ","2.5Z   ","  1","000000000000 ","706580002570","00706580002570","Z3Z","YEDI HOUSEWARE ","Z3Z","YEDI HOUSEWARE","M8 ","YEDI HOUSEWARE I"
