"ITEM  ","DEL","DI","DUTY PD "," DUTY FR ","    COST ","  PR 01 ","  PR 02 ","  PR 03 ","  PR 04 ","  PR 05 ","  PR 06 "," BEEROH ","WINEOH ","UM","B6%","B9%","W6%","W9%","TX?","  PR 07 ","  PR 08 ","  PR 09 ","  PR 10 ","  PR 11 "," ST"
"00411 ","   ","  ","  25.660","   24.838","   25.660","   38.95","   38.95","   44.79","   42.85","   40.90","   38.95","        ","       ","CS","  1","   ","   ","   ","Y  ","   38.95","   38.95","   38.95","   23.90","   38.95"," A "
"00412 ","D  ","  ","  16.930","   16.140","   16.930","   36.00","   36.00","   41.40","   39.60","   37.80","   36.00","        ","       ","CS","  1","   ","   ","   ","Y  ","   36.00","   36.00","   36.00","   23.90","   36.00"," D "
"00413 ","D  ","  ","  10.530","         ","   10.530","   18.89","   18.89","   21.73","   20.78","   19.84","   18.89","        ","       ","CS","  1","   ","   ","   ","Y  ","   18.89","   18.89","   18.89","   18.89","   18.89"," D "
"00414 ","X  ","  ","  10.530","         ","   10.530","   16.75","   16.75","   19.26","   16.75","   16.75","   16.75","        ","       ","CS","  1","   ","   ","   ","Y  ","   16.75","   16.75","   16.75","   16.75","   16.75"," X "
"00415 ","X  ","  ","  10.530","         ","   10.530","   18.89","   18.89","   21.73","   20.78","   19.84","   18.89","        ","       ","CS","  1","   ","   ","   ","Y  ","   18.89","   18.89","   18.89","   18.89","   18.89"," X "
"00416 ","   ","  ","  25.460","   23.960","   25.460","   55.00","   55.00","   63.25","   60.50","   57.75","   55.00","        ","       ","CS","  1","   ","   ","   ","Y  ","   55.00","   55.00","   55.00","   49.50","   55.00"," A "
"00417 ","D  ","  ","  22.290","     .720","   22.290","   51.13","   51.13","   58.80","   56.24","   53.69","   51.13","        ","       ","CS","  1","   ","   ","   ","Y  ","   51.13","   51.13","   51.13","   51.13","   51.13"," D "
"00418 ","D  ","  ","  22.290","     .720","   22.290","   51.13","   51.13","   58.80","   56.24","   53.69","   51.13","        ","       ","CS","  1","   ","   ","   ","Y  ","   51.13","   51.13","   51.13","   51.13","   51.13"," D "
"00419 ","X  ","  ","  14.590","   12.950","   14.590","   21.00","   21.00","   24.14","   23.10","   21.00","   21.00","        ","       ","CS","   ","  1","   ","   ","Y  ","   21.00","   21.00","   21.00","   21.00","   21.00"," X "
"00424 ","D  ","  ","  15.520","   14.380","   15.520","   18.50","   18.50","   21.27","   20.35","   19.42","   18.50","        ","       ","CS","   ","  1","   ","   ","Y  ","   18.50","   18.50","   18.50","   18.50","   18.50"," D "
"00425 ","X  ","  ","  15.520","   14.380","   15.520","   18.50","   18.50","   21.27","   20.35","   19.42","   18.50","        ","       ","CS","   ","   ","   ","   ","N  ","   18.50","   18.50","   18.50","   18.50","   18.50"," X "
"00426 ","X  ","  ","   7.300","    6.610","    7.300","   10.50","   10.50","   12.07","   11.55","   11.02","   10.50","        ","       ","CS","   ","  1","   ","   ","Y  ","   10.50","   10.50","   10.50","   10.50","   10.50"," X "
"00436 ","D  ","  ","   6.930","    6.240","    6.930","   10.50","   10.50","   12.07","   11.55","   11.02","   10.50","        ","       ","CS","   ","   ","   ","   ","N  ","   10.50","   10.50","   10.50","   10.50","   10.50"," D "
"00438 ","   ","  ","  47.305","   41.047","   47.305","   71.50","   71.50","   82.22","   78.65","   75.08","   71.50","        ","       ","CS","  1","   ","   ","   ","Y  ","   71.50","   71.50","   71.50","   64.35","   71.50"," M "
"00439 ","D  ","  ","  29.950","         ","   29.950","   40.50","   40.50","   46.58","   44.55","   42.53","   40.50","        ","       ","CS","  1","   ","   ","   ","Y  ","   40.50","   40.50","   40.50","   36.49","   40.50"," D "
"00440 ","X  ","  ","  29.860","         ","   29.860","   40.50","   40.50","   46.58","   44.55","   42.53","   40.50","        ","       ","CS","  1","   ","   ","   ","Y  ","   40.50","   40.50","   40.50","   36.49","   40.50"," X "
"00441 ","   ","  ","  47.305","   41.047","   47.305","   71.50","   71.50","   82.22","   78.65","   75.08","   71.50","        ","       ","CS","  1","   ","   ","   ","Y  ","   71.50","   71.50","   71.50","   64.35","   71.50"," A "
"00442 ","   ","  ","  29.950","         ","   29.950","   40.50","   40.50","   46.58","   44.55","   42.53","   40.50","        ","       ","CS","  1","   ","   ","   ","Y  ","   40.50","   40.50","   40.50","   36.49","   40.50"," A "
