"ITEM  ","DEL","DI","DUTY PD "," DUTY FR ","    COST ","  PR 01 ","  PR 02 ","  PR 03 ","  PR 04 ","  PR 05 ","  PR 06 "," BEEROH ","WINEOH ","UM","B6%","B9%","W6%","W9%","TX?","  PR 07 ","  PR 08 ","  PR 09 ","  PR 10 ","  PR 11 "," ST"
"103036","   ","  ","2326.078","         "," 2326.078"," 3230.15"," 3230.15"," 3714.67"," 3553.16"," 3391.65"," 3230.15","        ","    3.0","WW","   ","   ","   ","  1","Y  "," 3230.15"," 3230.15"," 3230.15"," 2907.14"," 3230.15"," M "
"103037","   ","  ","2571.776","         "," 2571.776"," 3571.45"," 3571.45"," 4107.17"," 3928.60"," 3750.03"," 3571.45","        ","    4.0","WW","   ","   ","   ","  1","Y  "," 3571.45"," 3571.45"," 3571.45"," 3214.35"," 3571.45"," M "
"103039","   ","  "," 188.730","  155.000","  188.730","  390.00","  390.00","  448.50","  429.00","  409.50","  390.00","        ","   30.0","WW","   ","   ","   ","  1","Y  ","  390.00","  390.00","  390.00","  390.00","  390.00"," A "
"103040","   ","  "," 188.730","  155.000","  188.730","  390.00","  390.00","  448.50","  429.00","  409.50","  390.00","        ","   36.0","WW","   ","   ","   ","  1","Y  ","  390.00","  390.00","  390.00","  390.00","  390.00"," A "
"103041","   ","D "," 234.320","         ","  234.320","  419.82","  419.82","  482.80","  461.80","  440.81","  419.82","        ","       ","WW","   ","   ","   ","  1","Y  ","  419.82","  419.82","  419.82","  419.82","  419.82"," D "
"103042","   ","  "," 232.609","  194.992","  232.609","  477.00","  477.00","  548.55","  524.70","  500.85","  477.00","        ","    9.0","WW","   ","   ","   ","  1","Y  ","  477.00","  477.00","  477.00","  477.00","  477.00"," A "
"103043","   ","D "," 268.460","         ","  268.460","  481.19","  481.19","  553.37","  529.31","  505.25","  481.19","        ","       ","WW","   ","   ","   ","  1","Y  ","  481.19","  481.19","  481.19","  481.19","  481.19"," D "
"103044","   ","  "," 809.760","         ","  809.760"," 1124.49"," 1124.49"," 1293.17"," 1236.94"," 1180.72"," 1124.49","        ","       ","WW","   ","   ","   ","  1","Y  "," 1124.49"," 1124.49"," 1124.49"," 1012.07"," 1124.49"," M "
"103045","   ","  "," 381.006","  331.490","  381.006","  570.00","  570.00","  655.50","  627.00","  598.50","  570.00","        ","   15.0","WW","   ","   ","   ","  1","Y  ","  570.00","  570.00","  570.00","  903.47","  570.00"," A "
"103046","   ","D ","1241.060","         "," 1241.060"," 1909.62"," 1909.62"," 2196.06"," 2100.58"," 2005.10"," 1909.62","        ","       ","WW","   ","   ","   ","  1","Y  "," 1909.62"," 1909.62"," 1909.62"," 1718.71"," 1909.62"," D "
"103047","   ","  "," 670.390","         ","  670.390","  998.19","  998.19"," 1147.92"," 1098.01"," 1048.10","  998.19","        ","    5.0","WW","   ","   ","   ","  1","Y  ","  998.19","  998.19","  998.19","  998.19","  998.19"," M "
"103048","   ","  "," 494.190","  434.375","  494.190","  795.00","  795.00","  914.25","  874.50","  834.75","  795.00","        ","   21.0","WW","   ","   ","   ","  1","Y  ","  795.00","  795.00","  795.00","  715.50","  795.00"," A "
"103049","   ","  "," 484.130","  425.360","  484.130","  696.60","  696.60","  801.09","  766.26","  731.43","  696.60","        ","    9.0","WW","   ","   ","   ","  1","Y  ","  696.60","  696.60","  696.60","  642.00","  696.60"," M "
"103050","   ","  "," 454.817","  398.569","  454.817","  666.60","  666.60","  766.59","  733.26","  699.93","  666.60","        ","       ","WW","   ","   ","   ","  1","Y  ","  666.60","  666.60","  666.60","  612.00","  666.60"," M "
"103051","   ","  "," 504.180","  447.270","  504.180","  675.00","  675.00","  776.25","  742.50","  708.75","  675.00","        ","    1.0","WW","   ","   ","   ","  1","Y  ","  675.00","  675.00","  675.00","  654.85","  675.00"," A "
"103052","   ","  "," 507.391","  447.115","  507.391","  777.00","  777.00","  893.55","  854.70","  815.85","  777.00","        ","    3.0","WW","   ","   ","   ","  1","Y  ","  777.00","  777.00","  777.00","  777.00","  777.00"," A "
"103053","   ","  "," 507.391","  447.115","  507.391","  777.00","  777.00","  893.55","  854.70","  815.85","  777.00","        ","   17.0","WW","   ","   ","   ","  1","Y  ","  777.00","  777.00","  777.00","  777.00","  777.00"," A "
"103054","   ","  ","  59.222","   52.100","   59.222","  592.50","  592.50","  681.38","  651.75","  622.13","  592.50","        ","       ","WW","   ","   ","   ","  1","Y  ","  592.50","  592.50","  592.50","  592.50","  592.50"," A "
"103055","   ","  ","        ","         ","         ","        ","        ","        ","        ","        ","        ","        ","       ","WW","   ","   ","   ","   ","Y  ","        ","        ","        ","        ","        "," A "
"103056","   ","  ","3167.783"," 2876.293"," 3167.783"," 4770.00"," 4770.00"," 5485.50"," 5247.00"," 5008.50"," 4110.00","        ","    2.0","WW","   ","   ","   ","  1","Y  "," 4770.00"," 4770.00"," 4770.00"," 4293.00"," 4770.00"," A "
"103057","   ","  ","5031.632"," 4579.282"," 5031.632"," 7500.00"," 7500.00"," 8625.00"," 8250.00"," 7875.00"," 6600.00","        ","    2.0","WW","   ","   ","   ","  1","Y  "," 7500.00"," 7500.00"," 7500.00"," 6750.00"," 7500.00"," A "
"103058","   ","  ","1687.931"," 1524.735"," 1687.931"," 2700.00"," 2700.00"," 3105.00"," 2970.00"," 2835.00"," 2490.00","        ","    1.0","WW","   ","   ","   ","  1","Y  "," 2700.00"," 2700.00"," 2700.00"," 2430.00"," 2700.00"," A "
"103059","   ","  ","2969.291"," 2693.341"," 2969.291"," 4950.00"," 4950.00"," 5692.50"," 5445.00"," 5197.50"," 4350.00","        ","    2.0","WW","   ","   ","   ","  1","Y  "," 4950.00"," 4950.00"," 4950.00"," 4455.00"," 4950.00"," A "
"103060","   ","  "," 404.671","  352.537","  404.671","  609.00","  609.00","  700.35","  669.90","  639.45","  510.00","        ","   28.0","WW","   ","   ","   ","  1","Y  ","  609.00","  609.00","  609.00","  548.10","  609.00"," A "
"103061","   ","  ","        ","         ","         ","        ","        ","        ","        ","        ","        ","        ","       ","WW","   ","   ","   ","   ","Y  ","        ","        ","        ","        ","        "," A "
"103062","   ","  "," 480.677","  421.952","  480.677","  746.14","  746.14","  746.14","  820.76","  783.45","  746.14","        ","    8.0","WW","   ","   ","   ","  1","Y  ","  746.14","  746.14","  746.14","  746.14","  746.14"," A "
"103063","   ","  ","1114.610","         ","         "," 1592.30"," 1592.30"," 1592.30"," 1751.53"," 1671.92"," 1592.30","        ","       ","WW","   ","   ","   ","  1","Y  "," 1592.30"," 1592.30"," 1592.30"," 1592.30"," 1592.30"," A "
"103064","   ","  ","1663.310","         "," 1663.310"," 2376.16"," 2376.16"," 2376.16"," 2613.77"," 2494.97"," 2376.16","        ","    1.0","WW","   ","   ","   ","  1","Y  "," 2376.16"," 2376.16"," 2376.16"," 2376.16"," 2376.16"," A "
"103065","   ","  ","3430.070","         "," 3430.070"," 4900.10"," 4900.10"," 4900.10"," 5390.11"," 5145.11"," 4900.10","        ","    1.0","WW","   ","   ","   ","  1","Y  "," 4900.10"," 4900.10"," 4900.10"," 4900.10"," 4900.10"," A "
"103066","   ","  "," 501.162","  440.535","  501.162","  778.70","  778.70","  778.70","  856.57","  817.64","  778.70","        ","   29.0","WW","   ","   ","   ","  1","Y  ","  778.70","  778.70","  778.70","  778.70","  778.70"," A "
"103067","   ","  "," 596.003","  526.893","  596.003","  924.30","  924.30","  924.30"," 1016.73","  970.52","  924.30","        ","   10.0","WW","   ","   ","   ","  1","Y  ","  924.30","  924.30","  924.30","  924.30","  924.30"," A "
"103068","   ","  ","        ","         ","         ","        ","        ","        ","        ","        ","        ","        ","       ","WW","   ","   ","   ","   ","Y  ","        ","        ","        ","        ","        "," A "
"103069","   ","  "," 441.176","  385.878","  441.176","  685.94","  685.94","  685.94","  754.54","  720.24","  685.94","        ","   12.0","WW","   ","   ","   ","  1","Y  ","  685.94","  685.94","  685.94","  685.94","  685.94"," A "
"103070","   ","  "," 563.310","  563.310","  563.310","  804.73","  804.73","  804.73","  885.20","  844.97","  804.73","        ","   30.0","WW","   ","   ","   ","  1","Y  ","  804.73","  804.73","  804.73","  804.73","  804.73"," A "
"103071","   ","  "," 511.410","  511.410","  511.410","  730.59","  730.59","  730.59","  803.64","  767.12","  730.59","        ","    3.0","WW","   ","   ","   ","  1","Y  ","  730.59","  730.59","  730.59","  730.59","  730.59"," A "
"103072","   ","  "," 613.670","  613.670","  613.670","  876.67","  876.67","  876.67","  964.34","  920.50","  876.67","        ","    4.0","WW","   ","   ","   ","  1","Y  ","  876.67","  876.67","  876.67","  876.67","  876.67"," A "
"103073","   ","  "," 463.817","  406.523","  463.817","  696.12","  696.12","  800.54","  765.73","  730.93","  646.56","        ","   26.0","WW","   ","   ","   ","  1","Y  ","  696.12","  696.12","  696.12","  626.51","  696.12"," A "
"103074","   ","  "," 462.558","  405.008","  462.558","  694.50","  694.50","  798.68","  763.95","  729.22","  615.00","        ","    3.0","WW","   ","   ","   ","  1","Y  ","  694.50","  694.50","  694.50","  625.05","  694.50"," A "
"103075","   ","  "," 533.939","  470.597","  533.939","  801.00","  801.00","  921.15","  881.10","  841.05","  694.50","        ","   23.0","WW","   ","   ","   ","  1","Y  ","  801.00","  801.00","  801.00","  720.90","  801.00"," A "
"103076","   ","  "," 998.962","  901.162","  998.962"," 1495.00"," 1495.00"," 1719.25"," 1644.50"," 1569.75"," 1395.00","        ","    2.0","WW","   ","   ","   ","  1","Y  "," 1495.00"," 1495.00"," 1495.00"," 1345.50"," 1495.00"," A "
"103077","   ","  "," 798.448","  712.180","  798.448"," 1185.00"," 1185.00"," 1362.75"," 1303.50"," 1244.25"," 1065.00","        ","    3.0","WW","   ","   ","   ","  1","Y  "," 1185.00"," 1185.00"," 1185.00"," 1066.50"," 1185.00"," A "
"103078","   ","  ","1827.120","         ","         "," 2610.17"," 2610.17"," 2610.17"," 2871.19"," 2740.68"," 2610.17","        ","       ","WW","   ","   ","   ","  1","Y  "," 2610.17"," 2610.17"," 2610.17"," 2610.17"," 2610.17"," A "
"103079","   ","  "," 442.580","         ","         ","  632.26","  632.26","  632.26","  695.48","  663.87","  632.26","        ","       ","WW","   ","   ","   ","  1","Y  ","  632.26","  632.26","  632.26","  632.26","  632.26"," A "
"103080","   ","  "," 479.090","         ","         ","  684.41","  684.41","  684.41","  752.86","  718.63","  684.41","        ","       ","WW","   ","   ","   ","  1","Y  ","  684.41","  684.41","  684.41","  684.41","  684.41"," A "
"103081","   ","  "," 621.430","         ","         ","  887.76","  887.76","  887.76","  976.53","  932.15","  887.76","        ","       ","WW","   ","   ","   ","  1","Y  ","  887.76","  887.76","  887.76","  887.76","  887.76"," A "
"103082","   ","  "," 124.060","         ","  124.060","  177.23","  177.23","  177.23","  194.95","  186.09","  177.23","        ","    2.0","WW","   ","   ","   ","  1","Y  ","  177.23","  177.23","  177.23","  177.23","  177.23"," A "
"103083","   ","  "," 693.170","  693.170","  693.170","  990.24","  990.24","  990.24"," 1089.27"," 1039.75","  990.24","        ","   42.0","WW","   ","   ","   ","  1","Y  ","  990.24","  990.24","  990.24","  990.24","  990.24"," A "
"103084","   ","  "," 651.710","         ","  651.710","  931.01","  931.01","  931.01"," 1024.12","  977.56","  931.01","        ","    3.0","WW","   ","   ","   ","  1","Y  ","  931.01","  931.01","  931.01","  931.01","  931.01"," A "
"103085","   ","  "," 848.958","  757.848","  848.958","        ","        ","        ","        ","        ","        ","        ","       ","WW","   ","   ","   ","  1","Y  ","        ","        ","        ","        ","        "," A "
"104001","   ","D "," 133.153","  103.388","  133.153","  229.50","  229.50","  263.93","  252.45","  240.98","  229.50","        ","       ","WW","   ","   ","   ","  1","Y  ","  229.50","  229.50","  229.50","  191.81","  229.50"," D "
"104002","   ","D "," 298.570","         ","  298.570","  559.76","  559.76","  643.72","  615.73","  587.75","  559.76","        ","       ","WW","   ","   ","   ","  1","Y  ","  559.76","  559.76","  559.76","  503.82","  559.76"," D "
"104003","   ","  ","1375.947","         "," 1375.947"," 3444.00"," 3444.00"," 3960.60"," 3788.40"," 3616.20"," 3444.00","        ","    6.0","WW","   ","   ","   ","  1","Y  "," 3444.00"," 3444.00"," 3444.00"," 2220.37"," 3444.00"," M "
"104004","   ","  "," 154.012","         ","  154.012","  268.90","  268.90","  309.23","  295.79","  282.34","  268.90","        ","       ","WW","   ","   ","   ","  1","Y  ","  268.90","  268.90","  268.90","  242.14","  268.90"," M "
"104005","   ","  ","1315.402","         "," 1315.402"," 3300.00"," 3300.00"," 3795.00"," 3630.00"," 3465.00"," 3300.00","        ","    4.0","WW","   ","   ","   ","  1","Y  "," 3300.00"," 3300.00"," 3300.00"," 2123.93"," 3300.00"," M "
"104007","   ","  ","1355.776","         "," 1355.776"," 3396.00"," 3396.00"," 3905.40"," 3735.60"," 3565.80"," 3396.00","        ","       ","WW","   ","   ","   ","  1","Y  "," 3396.00"," 3396.00"," 3396.00"," 2188.40"," 3396.00"," M "
"104011","   ","  ","  89.479","   65.548","   89.479","  195.00","  195.00","  224.25","  214.50","  204.75","  195.00","        ","   23.0","WW","   ","   ","   ","  1","Y  ","  195.00","  195.00","  195.00","  175.50","   92.50"," A "
"104012","   ","  ","  89.486","   65.548","   89.486","  195.00","  195.00","  224.25","  214.50","  204.75","  195.00","        ","   23.0","WW","   ","   ","   ","  1","Y  ","  195.00","  195.00","  195.00","  175.50","   92.50"," A "
"104013","   ","X ","  67.676","         ","   67.676","  122.23","  122.23","  140.57","  134.46","  128.35","  122.23","        ","       ","WW","   ","   ","   ","  1","Y  ","  122.23","  122.23","  122.23","  122.23","  122.23"," X "
"104014","   ","  "," 104.845","   79.563","  104.845","  177.00","  177.00","  203.55","  194.70","  185.85","   90.58","        ","   27.0","WW","   ","   ","   ","  1","Y  ","   90.58","   90.58","   90.58","  126.09","   90.58"," A "
"104015","   ","  "," 105.037","   79.607","  105.037","  177.00","  177.00","  203.55","  194.70","  185.85","   90.58","        ","   32.0","WW","   ","   ","   ","  1","Y  ","   90.58","   90.58","   90.58","  126.09","   90.58"," A "
"104016","   ","  ","  81.397","   57.778","   81.397","  148.05","  148.05","  170.26","  162.86","  155.45","  148.05","        ","   28.0","WW","   ","   ","   ","  1","Y  ","  148.05","  148.05","  148.05","  116.40","   92.50"," A "
"104018","   ","  "," 105.266","   79.566","  105.266","  177.00","  177.00","  203.55","  194.70","  185.85","   90.58","        ","   28.0","WW","   ","   ","   ","  1","Y  ","   90.58","   90.58","   90.58","  126.09","   90.58"," A "
"104021","   ","  "," 276.840","  147.058","  276.840","        ","        ","  800.40","  765.60","  730.80","        ","        ","    3.0","WW","   ","   ","   ","  1","Y  ","        ","        ","        ","  391.72","        "," A "
"104023","   ","D ","  49.290","         ","   49.290","  100.67","  100.67","  115.77","  110.74","  105.71","  100.67","        ","       ","WW","   ","   ","   ","  1","Y  ","  100.67","  100.67","  100.67","  100.67","  100.67"," D "
"104024","   ","  "," 631.866","  551.153","  631.866"," 1584.00"," 1584.00"," 1821.60"," 1742.40"," 1663.20"," 1584.00","        ","    6.0","WW","   ","   ","   ","  1","Y  "," 1584.00"," 1584.00"," 1584.00","  875.07"," 1584.00"," M "
"104025","   ","  "," 444.780","         ","  444.780"," 1116.00"," 1116.00"," 1283.40"," 1227.60"," 1171.80"," 1116.00","        ","    8.0","WW","   ","   ","   ","  1","Y  "," 1116.00"," 1116.00"," 1116.00","  673.60"," 1116.00"," M "
"104026","   ","D ","1015.860","         "," 1015.860"," 2544.00"," 2544.00"," 2925.60"," 2798.40"," 2671.20"," 2544.00","        ","       ","WW","   ","   ","   ","  1","Y  "," 2544.00"," 2544.00"," 2544.00"," 1509.79"," 2544.00"," D "
"104027","   ","  "," 486.738","         ","  486.738"," 1218.00"," 1218.00"," 1400.70"," 1339.80"," 1278.90"," 1218.00","        ","    1.0","WW","   ","   ","   ","  1","Y  "," 1218.00"," 1218.00"," 1218.00","  808.92"," 1218.00"," M "
"104028","   ","  "," 381.431","         ","  381.431","  954.00","  954.00"," 1097.10"," 1049.40"," 1001.70","  954.00","        ","    1.0","WW","   ","   ","   ","  1","Y  ","  954.00","  954.00","  954.00","  574.88","  954.00"," M "
"104029","   ","  "," 281.090","  240.560","  281.090","  792.00","  792.00","  910.80","  871.20","  831.60","  792.00","        ","    2.0","WW","   ","   ","   ","  1","Y  ","  792.00","  792.00","  792.00","  481.52","  792.00"," A "
"104030","   ","D "," 252.796","         ","  252.796","  636.00","  636.00","  731.40","  699.60","  667.80","  636.00","        ","       ","WW","   ","   ","   ","  1","Y  ","  636.00","  636.00","  636.00","  415.75","  636.00"," D "
"104031","   ","D "," 110.600","   84.700","  110.600","  191.73","  191.73","  220.49","  210.91","  201.32","  191.73","        ","       ","WW","   ","   ","   ","  1","Y  ","  191.73","  191.73","  191.73","  172.58","  191.73"," D "
"104032","   ","D ","1512.518","         "," 1512.518"," 3786.00"," 3786.00"," 4353.90"," 4164.60"," 3975.30"," 3786.00","        ","       ","WW","   ","   ","   ","  1","Y  "," 3786.00"," 3786.00"," 3786.00"," 2240.14"," 3786.00"," D "
"104033","   ","  "," 965.597","         ","  965.597"," 2418.00"," 2418.00"," 2780.70"," 2659.80"," 2538.90"," 2418.00","        ","    2.0","WW","   ","   ","   ","  1","Y  "," 2418.00"," 2418.00"," 2418.00"," 1435.70"," 2418.00"," M "
"104034","   ","  "," 570.438","         ","  570.438"," 1428.00"," 1428.00"," 1642.20"," 1570.80"," 1499.40"," 1428.00","        ","    5.0","WW","   ","   ","   ","  1","Y  "," 1428.00"," 1428.00"," 1428.00","  854.44"," 1428.00"," M "
"104035","   ","  ","1010.276","         "," 1010.276"," 2532.00"," 2532.00"," 2911.80"," 2785.20"," 2658.60"," 2532.00","        ","    1.0","WW","   ","   ","   ","  1","Y  "," 2532.00"," 2532.00"," 2532.00"," 1501.52"," 2532.00"," M "
"104036","   ","D ","1715.935","         "," 1715.935"," 4290.00"," 4290.00"," 4933.50"," 4719.00"," 4504.50"," 4290.00","        ","       ","WW","   ","   ","   ","  1","Y  "," 4290.00"," 4290.00"," 4290.00"," 2539.19"," 4290.00"," D "
"104038","   ","  ","2582.454","         "," 2582.454"," 6462.00"," 6462.00"," 7431.30"," 7108.20"," 6785.10"," 6462.00","        ","    3.0","WW","   ","   ","   ","  1","Y  "," 6462.00"," 6462.00"," 6462.00"," 3813.64"," 6462.00"," M "
"104039","   ","  ","2707.077","         "," 2707.077"," 6768.00"," 6768.00"," 7783.20"," 7444.80"," 7106.40"," 6768.00","        ","    1.0","WW","   ","   ","   ","  1","Y  "," 6768.00"," 6768.00"," 6768.00"," 3996.92"," 6768.00"," M "
"104040","   ","  ","3400.519","         "," 3400.519"," 8502.00"," 8502.00"," 9777.30"," 9352.20"," 8927.40"," 8502.00","        ","    3.0","WW","   ","   ","   ","  1","Y  "," 8502.00"," 8502.00"," 8502.00"," 5016.82"," 8502.00"," M "
"104041","   ","X ","  54.870","         ","   54.870","  109.76","  109.76","  126.22","  120.73","  115.25","  109.76","        ","       ","WW","   ","   ","   ","  1","Y  ","  109.76","  109.76","  109.76","  109.76","  109.76"," X "
"104042","   ","  "," 222.340","         ","  222.340","  431.49","  431.49","  496.22","  474.64","  453.07","  431.49","        ","       ","WW","   ","   ","   ","  1","Y  ","  431.49","  431.49","  431.49","  388.37","  431.49"," M "
"104043","   ","  "," 222.340","         ","  222.340","  431.48","  431.48","  496.20","  474.62","  453.05","  431.48","        ","       ","WW","   ","   ","   ","  1","Y  ","  431.48","  431.48","  431.48","  388.37","  431.48"," M "
"104044","   ","D "," 110.920","         ","  110.920","  205.18","  205.18","  235.96","  225.70","  215.44","  205.18","        ","       ","WW","   ","   ","   ","  1","Y  ","  205.18","  205.18","  205.18","  184.68","  205.18"," D "
"104045","   ","  "," 329.200","         ","  329.200","  828.00","  828.00","  952.20","  910.80","  869.40","  828.00","        ","    3.0","WW","   ","   ","   ","  1","Y  ","  828.00","  828.00","  828.00","  516.73","  828.00"," M "
"104046","   ","  "," 488.980","         ","  488.980"," 1224.00"," 1224.00"," 1407.60"," 1346.40"," 1285.20"," 1224.00","        ","    1.0","WW","   ","   ","   ","  1","Y  "," 1224.00"," 1224.00"," 1224.00","  759.73"," 1224.00"," M "
"104048","   ","  ","  79.155","   54.694","   79.155","  140.40","  140.40","  161.46","  154.44","  147.42","  109.92","        ","   84.0","WW","   ","   ","   ","  1","Y  ","  109.92","  109.92","  109.92","  131.83","   93.43"," A "
"104049","   ","  "," 313.850","  292.630","  313.850","  786.00","  786.00","  903.90","  864.60","  825.30","  786.00","        ","    4.0","WW","   ","   ","   ","  1","Y  ","  786.00","  786.00","  786.00","  563.92","  786.00"," A "
"104050","   ","D ","        ","         ","         ","        ","        ","        ","        ","        ","        ","        ","       ","WW","   ","   ","   ","   ","Y  ","        ","        ","        ","        ","        "," D "
"104051","   ","D ","        ","         ","         ","        ","        ","        ","        ","        ","        ","        ","       ","WW","   ","   ","   ","   ","Y  ","        ","        ","        ","        ","        "," D "
"105001","   ","X ","  39.420","   31.083","   39.420","   99.83","   99.83","  114.80","  109.81","  104.82","   75.46","        ","       ","WW","   ","   ","   ","  1","Y  ","   75.46","   75.46","   75.46","   99.83","   75.46"," X "
"105002","   ","D ","  85.340","   74.870","   85.340","  166.92","  166.92","  191.95","  183.61","  175.26","  166.92","        ","       ","WW","   ","   ","   ","  1","Y  ","  166.92","  166.92","  166.92","  166.92","  166.92"," D "
"105003","   ","X ","  46.440","   39.485","   46.440","   96.68","   96.68","  111.18","  106.35","  101.51","   51.30","        ","       ","WW","   ","   ","   ","  1","Y  ","   60.26","   60.26","   51.30","   96.68","   51.30"," X "
"105004","   ","  ","  85.340","   74.870","   85.340","  166.92","  166.92","  191.96","  183.62","  175.27","  166.92","        ","    6.0","WW","   ","   ","   ","  1","Y  ","  166.92","  166.92","  166.92","  166.92","  166.92"," M "
"105005","   ","D ","  60.598","   42.959","   60.598","  148.70","  148.70","  171.01","  163.57","  156.14","  142.83","        ","       ","WW","   ","   ","   ","  1","Y  ","  142.83","  142.83","  142.83","  148.70","  142.83"," D "
"105006","   ","  ","  85.340","   74.870","   85.340","  166.90","  166.90","  191.93","  183.59","  175.24","  166.90","        ","    5.0","WW","   ","   ","   ","  1","Y  ","  166.90","  166.90","  166.90","  166.90","  166.90"," M "
"105008","   ","D "," 103.180","   91.860","  103.180","  197.88","  197.88","  227.56","  217.66","  207.77","  197.88","        ","       ","WW","   ","   ","   ","  1","Y  ","  197.88","  197.88","  197.88","  197.88","  197.88"," D "
"105009","   ","  "," 140.020","  120.530","  140.020","  287.15","  287.15","  330.22","  315.88","  301.51","  295.97","        ","   21.0","WW","   ","   ","   ","  1","Y  ","  254.17","  254.17","  295.97","  258.44","  295.97"," A "
"106001","   ","D "," 109.870","   91.800","  109.870","  163.80","  163.80","  188.37","  180.18","  171.99","  163.80","        ","       ","WW","   ","   ","   ","  1","Y  ","  163.80","  163.80","  163.80","  163.80","  160.65"," D "
"106003","   ","X "," 117.960","  100.685","  117.960","  237.45","  237.45","  273.06","  261.19","  249.32","  173.74","        ","       ","WW","   ","   ","   ","  1","Y  ","  153.65","  153.65","  173.74","  237.45","  173.74"," X "
"106009","   ","X "," 138.360","         ","  138.360","  161.40","  161.40","  185.59","  177.53","  169.47","  161.40","        ","       ","WW","   ","   ","   ","  1","Y  ","  161.40","  161.40","  161.40","  161.40","  161.40"," X "
"106013","   ","D ","  80.369","   70.129","   80.369","  146.13","  146.13","  168.05","  160.74","  153.44","  127.53","        ","       ","WW","   ","   ","   ","  1","Y  ","  102.35","  102.35","  127.53","  146.13","  127.53"," D "
"106015","   ","D ","  80.369","   70.129","   80.369","  146.13","  146.13","  168.05","  160.74","  153.44","  127.53","        ","       ","WW","   ","   ","   ","  1","Y  ","  102.35","  102.35","  127.53","  146.13","  127.53"," D "
"106016","   ","D "," 109.850","   91.780","  109.850","  163.80","  163.80","  188.37","  180.18","  171.99","  175.11","        ","       ","WW","   ","   ","   ","  1","Y  ","  140.09","  140.09","  175.11","  163.80","  175.11"," D "
"106018","   ","D "," 138.360","         ","  138.360","  161.40","  161.40","  185.59","  177.53","  169.47","  161.40","        ","       ","WW","   ","   ","   ","  1","Y  ","  161.40","  161.40","  161.40","  161.40","  161.40"," D "
"106023","   ","  ","  73.737","   50.910","   73.737","  113.70","  113.70","  130.76","  125.07","  119.38","  113.70","        ","   18.0","WW","   ","   ","   ","  1","Y  ","  113.70","  113.70","  113.70","  102.33","   95.00"," A "
"106024","   ","D "," 109.425","   91.717","  109.425","  163.80","  163.80","  188.37","  180.18","  171.99","  163.80","        ","       ","WW","   ","   ","   ","  1","Y  ","  163.80","  163.80","  163.80","  163.80","  160.65"," D "
"106028","   ","  ","  74.387","   51.561","   74.387","  113.70","  113.70","  130.76","  125.07","  119.38","  113.70","        ","   13.0","WW","   ","   ","   ","  1","Y  ","  113.70","  113.70","  113.70","  102.33","   95.00"," A "
"106029","   ","  ","  73.737","   50.910","   73.737","  113.70","  113.70","  130.76","  125.07","  119.38","  113.70","        ","   18.0","WW","   ","   ","   ","  1","Y  ","  113.70","  113.70","  113.70","  102.33","   95.00"," A "
"107001","   ","X "," 115.430","  103.090","  115.430","  146.80","  146.80","  168.81","  161.47","  154.13","  196.73","        ","       ","WW","   ","   ","   ","  1","Y  ","  196.73","  196.73","  196.73","  146.80","  196.73"," X "
"107002","   ","X "," 115.430","  103.090","  115.430","  146.80","  146.80","  168.81","  161.47","  154.13","  196.73","        ","       ","WW","   ","   ","   ","  1","Y  ","  196.73","  196.73","  196.73","  146.80","  196.73"," X "
"107003","   ","X "," 115.430","  103.090","  115.430","  146.80","  146.80","  168.81","  161.47","  154.13","  196.73","        ","       ","WW","   ","   ","   ","  1","Y  ","  196.73","  196.73","  196.73","  146.80","  196.73"," X "
"107004","   ","X "," 115.430","  103.090","  115.430","  146.80","  146.80","  168.81","  161.47","  154.13","  196.73","        ","       ","WW","   ","   ","   ","  1","Y  ","  196.73","  196.73","  196.73","  146.80","  196.73"," X "
"111000","   ","D ","  78.479","   38.939","   78.479","  133.80","  133.80","  153.87","  147.18","  140.49","  133.80","        ","       ","WW","   ","   ","   ","  1","Y  ","  133.80","  133.80","  133.80","  133.80","   62.30"," D "
"111001","   ","  ","  88.875","   48.423","   88.875","  174.00","  174.00","  200.10","  191.40","  182.70","  174.00","        ","   17.0","WW","   ","   ","   ","  1","Y  ","  174.00","  174.00","  174.00","  150.00","   80.10"," A "
"111002","   ","  ","  93.090","   52.266","   93.090","  174.00","  174.00","  200.10","  191.40","  182.70","  174.00","        ","   43.0","WW","   ","   ","   ","  1","Y  ","  174.00","  174.00","  174.00","  150.00","   80.10"," A "
"111003","   ","  ","  88.766","   48.315","   88.766","  174.00","  174.00","  200.10","  191.40","  182.70","  174.00","        ","   40.0","WW","   ","   ","   ","  1","Y  ","  174.00","  174.00","  174.00","  150.00","   80.10"," A "
"111004","   ","  ","  90.159","   49.505","   90.159","  174.00","  174.00","  200.10","  191.40","  182.70","  174.00","        ","       ","WW","   ","   ","   ","  1","Y  ","  174.00","  174.00","  174.00","  150.00","   80.10"," A "
"111005","   ","D ","  88.782","   48.259","   88.782","  150.00","  150.00","  172.50","  165.00","  157.50","  150.00","        ","       ","WW","   ","   ","   ","  1","Y  ","  150.00","  150.00","  150.00","  150.00","   80.10"," D "
"111006","   ","  ","  63.500","   47.510","   63.500","  150.00","  150.00","  172.50","  165.00","  157.50","  150.00","        ","   52.0","WW","   ","   ","   ","  1","Y  ","  150.00","  150.00","  150.00","  150.00","   80.10"," A "
"111007","   ","  "," 120.700","   76.186","  120.700","  179.40","  179.40","  206.31","  197.34","  188.37","  179.40","        ","       ","WW","   ","   ","   ","  1","Y  ","  179.40","  179.40","  179.40","  179.40","  115.70"," A "
