"WHSE  ","ITEM   ","DESCRIPT                           ","U/C","   COST01 ","   COST02 ","   COST03 ","   COST04 ","   COST05 ","   COST06 ","   COST07 ","   COST08 ","   COST09 ","   COST10 ","    TOTAL  ","   COST99 "
"11060 ","102049 ","BOTTEGA GOLD 6/750  DB BOTTEGA GOL ","  6","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","   35.000 "
"11010 ","102050 ","SARTORI 6/750  PROSECCO SPUMANTE B ","  6","   49.797 ","          ","   13.366 ","     .055 ","   18.675 ","    3.058 ","    2.752 ","     .485 ","     .123 ","     .078 ","    88.390 ","   40.000 "
"11020 ","102050 ","SARTORI 6/750  PROSECCO SPUMANTE B ","  6","   49.797 ","          ","   13.366 ","     .055 ","   18.675 ","    3.058 ","    2.752 ","     .485 ","     .123 ","     .078 ","    88.390 ","   40.000 "
"11060 ","102050 ","SARTORI 6/750  PROSECCO SPUMANTE B ","  6","   49.797 ","          ","   13.366 ","     .055 ","          ","          ","          ","     .485 ","     .123 ","     .078 ","    63.904 ","   40.000 "
"11010 ","102052 ","VINO POETI GLD 6/750  DB V.D.POETI ","  6","  106.305 ","     .536 ","   19.384 ","     .079 ","   18.675 ","    5.957 ","    5.361 ","     .809 ","     .330 ","     .180 ","   157.616 ","   40.000 "
"11020 ","102052 ","VINO POETI GLD 6/750  DB V.D.POETI ","  6","  106.305 ","     .536 ","   19.384 ","     .079 ","   18.675 ","    5.957 ","    5.361 ","     .809 ","     .330 ","     .180 ","   157.616 ","   40.000 "
"11060 ","102052 ","VINO POETI GLD 6/750  DB V.D.POETI ","  6","  106.305 ","     .536 ","   19.384 ","     .079 ","          ","          ","          ","     .809 ","     .330 ","     .180 ","   127.623 ","   35.000 "
"11010 ","102053 ","SPERONE 12/750 LA SPERONE MOSCATO  "," 12","   61.180 ","    2.649 ","    3.793 ","     .509 ","   36.000 ","    3.233 ","    2.909 ","     .656 ","     .177 ","     .111 ","   111.216 ","   40.000 "
"11020 ","102053 ","SPERONE 12/750 LA SPERONE MOSCATO  "," 12","   61.180 ","    2.649 ","    3.793 ","     .509 ","   36.000 ","    3.233 ","    2.909 ","     .656 ","     .177 ","     .111 ","   111.216 ","   40.000 "
"11060 ","102053 ","SPERONE 12/750 LA SPERONE MOSCATO  "," 12","   61.180 ","    2.649 ","    3.793 ","     .509 ","          ","          ","          ","     .656 ","     .177 ","     .111 ","    69.075 ","   25.000 "
"11010 ","102059 ","KRUG 6/750  LVMH KRUG ROSE GIFT BO ","  6"," 2151.790 ","          ","   44.490 ","    2.320 ","   18.660 ","  113.070 ","          ","   16.460 ","     .580 ","     .310 ","  2347.680 ","   35.000 "
"11020 ","102059 ","KRUG 6/750  LVMH KRUG ROSE GIFT BO ","  6"," 2151.790 ","          ","   44.490 ","    2.320 ","   18.660 ","  113.070 ","          ","   16.460 ","     .580 ","     .310 ","  2347.680 ","   35.000 "
"11060 ","102059 ","KRUG 6/750  LVMH KRUG ROSE GIFT BO ","  6","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","   25.000 "
"11010 ","102060 ","RUFFINO 12/750 RUFFINO PROSECCO    "," 12","  134.938 ","    4.758 ","    5.751 ","    1.069 ","   37.351 ","    7.275 ","    6.546 ","    1.163 ","     .280 ","     .159 ","   199.289 ","   40.000 "
"11020 ","102060 ","RUFFINO 12/750 RUFFINO PROSECCO    "," 12","  134.938 ","    4.758 ","    5.751 ","    1.069 ","   37.351 ","    7.275 ","    6.546 ","    1.163 ","     .280 ","     .159 ","   199.289 ","   40.000 "
"11060 ","102060 ","RUFFINO 12/750 RUFFINO PROSECCO    "," 12","  134.938 ","    4.758 ","    5.751 ","    1.069 ","          ","          ","          ","    1.163 ","     .280 ","     .159 ","   148.117 ","   35.000 "
"11010 ","102066 ","VINO POETI GLD 6/750  DB VINO DEI  ","  6","  106.305 ","     .536 ","   19.384 ","     .079 ","   18.675 ","    5.957 ","    5.361 ","     .809 ","     .350 ","     .180 ","   157.636 ","   40.000 "
"11020 ","102066 ","VINO POETI GLD 6/750  DB VINO DEI  ","  6","  106.305 ","     .536 ","   19.384 ","     .079 ","   18.675 ","    5.957 ","    5.361 ","     .809 ","     .350 ","     .180 ","   157.636 ","   40.000 "
"11060 ","102066 ","VINO POETI GLD 6/750  DB VINO DEI  ","  6","  106.305 ","     .536 ","   19.384 ","     .079 ","          ","          ","          ","     .809 ","          ","          ","   127.113 ","   55.000 "
"11010 ","102068 ","FRESITA 6/750  FRESITA             ","  6","   39.860 ","          ","    8.760 ","          ","   18.000 ","    2.670 ","    2.400 ","     .410 ","     .130 ","     .070 ","    72.300 ","   40.000 "
"11020 ","102068 ","FRESITA 6/750  FRESITA             ","  6","   39.860 ","          ","    8.760 ","          ","   18.000 ","    2.670 ","    2.400 ","     .410 ","     .130 ","     .070 ","    72.300 ","   40.000 "
"11060 ","102068 ","FRESITA 6/750  FRESITA             ","  6","   39.860 ","          ","    8.760 ","          ","          ","          ","          ","     .380 ","     .130 ","     .070 ","    49.200 ","   30.000 "
"11010 ","102069 ","SPERONE 24/200 LA SPERONE MOSCATO  "," 24","   56.286 ","          ","   15.533 ","     .800 ","   19.200 ","    3.621 ","    3.259 ","     .581 ","     .196 ","     .123 ","    99.599 ","   40.000 "
"11020 ","102069 ","SPERONE 24/200 LA SPERONE MOSCATO  "," 24","   56.286 ","          ","   15.533 ","     .800 ","   19.200 ","    3.621 ","    3.259 ","     .581 ","     .196 ","     .123 ","    99.599 ","   40.000 "
"11060 ","102069 ","SPERONE 24/200 LA SPERONE MOSCATO  "," 24","   56.286 ","          ","   15.533 ","     .800 ","          ","          ","          ","     .581 ","     .196 ","     .123 ","    73.519 ","   35.000 "
"11010 ","102075 ","VF 6/750  MISTINGUETT CAVA BRUT    ","  6","   40.416 ","    2.555 ","    4.779 ","     .703 ","   18.676 ","    2.489 ","    2.240 ","     .423 ","     .185 ","     .104 ","    72.572 ","   40.000 "
"11020 ","102075 ","VF 6/750  MISTINGUETT CAVA BRUT    ","  6","   40.416 ","    2.555 ","    4.779 ","     .703 ","   18.676 ","    2.489 ","    2.240 ","     .423 ","     .185 ","     .104 ","    72.572 ","   40.000 "
"11060 ","102075 ","VF 6/750  MISTINGUETT CAVA BRUT    ","  6","   40.416 ","    2.555 ","    4.779 ","     .703 ","          ","          ","          ","     .423 ","     .185 ","     .104 ","    49.166 ","   35.000 "
"11010 ","102076 ","VF 6/750  MISTINGUETT CAVA ROSE BR ","  6","   44.379 ","    3.360 ","    8.572 ","     .642 ","   18.765 ","    2.861 ","    2.341 ","     .437 ","     .193 ","     .109 ","    81.659 ","   40.000 "
"11020 ","102076 ","VF 6/750  MISTINGUETT CAVA ROSE BR ","  6","   44.379 ","    3.360 ","    8.572 ","     .642 ","   18.765 ","    2.861 ","    2.341 ","     .437 ","     .193 ","     .109 ","    81.659 ","   40.000 "
"11060 ","102076 ","VF 6/750  MISTINGUETT CAVA ROSE BR ","  6","   44.379 ","    3.360 ","    8.572 ","     .642 ","          ","          ","          ","     .437 ","     .193 ","     .109 ","    57.692 ","   35.000 "
"11010 ","102077 ","VF 6/750  MISTINGUETT CAVA NATURE  ","  6","   42.503 ","    3.218 ","    8.209 ","     .615 ","   18.765 ","    2.739 ","    2.241 ","     .423 ","     .185 ","     .104 ","    79.004 ","   40.000 "
"11020 ","102077 ","VF 6/750  MISTINGUETT CAVA NATURE  ","  6","   42.503 ","    3.218 ","    8.209 ","     .615 ","   18.765 ","    2.739 ","    2.241 ","     .423 ","     .185 ","     .104 ","    79.004 ","   40.000 "
"11060 ","102077 ","VF 6/750  MISTINGUETT CAVA NATURE  ","  6","   42.503 ","    3.218 ","    8.209 ","     .615 ","          ","          ","          ","     .423 ","     .185 ","     .104 ","    55.259 ","   35.000 "
"11010 ","102079 ","VF 6/750  CAVA SEMI S. VALLFORMOSA ","  6","   38.500 ","    2.787 ","    6.781 ","     .782 ","   18.676 ","    2.367 ","    2.130 ","     .424 ","     .192 ","     .120 ","    72.759 ","          "
"11020 ","102079 ","VF 6/750  CAVA SEMI S. VALLFORMOSA ","  6","   38.500 ","    2.787 ","    6.781 ","     .782 ","   18.676 ","    2.367 ","    2.130 ","     .424 ","     .192 ","     .120 ","    72.759 ","          "
"11060 ","102079 ","VF 6/750  CAVA SEMI S. VALLFORMOSA ","  6","   38.500 ","    2.787 ","    6.781 ","     .782 ","          ","          ","          ","     .424 ","     .192 ","     .120 ","    49.585 ","          "
"11010 ","102084 ","VF 6/750  CAVA GRAN BARON BRUT NAT ","  6","   27.448 ","          ","   11.418 ","     .045 ","   18.689 ","    1.932 ","    1.739 ","     .361 ","     .119 ","     .075 ","    61.826 ","   35.000 "
"11020 ","102084 ","VF 6/750  CAVA GRAN BARON BRUT NAT ","  6","   27.448 ","          ","   11.418 ","     .045 ","   18.689 ","    1.932 ","    1.739 ","     .361 ","     .119 ","     .075 ","    61.826 ","   35.000 "
"11060 ","102084 ","VF 6/750  CAVA GRAN BARON BRUT NAT ","  6","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","   35.000 "
"11010 ","102085 ","VF 6/750  CAVA GRAN BARON BRUT     ","  6","   39.378 ","    2.982 ","    7.606 ","     .570 ","   18.675 ","    2.533 ","    2.074 ","     .400 ","     .171 ","     .097 ","    74.485 ","   25.000 "
"11020 ","102085 ","VF 6/750  CAVA GRAN BARON BRUT     ","  6","   39.378 ","    2.982 ","    7.606 ","     .570 ","   18.675 ","    2.533 ","    2.074 ","     .400 ","     .171 ","     .097 ","    74.485 ","   25.000 "
"11060 ","102085 ","VF 6/750  CAVA GRAN BARON BRUT     ","  6","   39.378 ","    2.982 ","    7.606 ","     .570 ","          ","          ","          ","     .400 ","     .171 ","     .097 ","    51.203 ","   25.000 "
"11010 ","102086 ","VF 6/750  CAVA GRAN BARON BRUT ROS ","  6","   39.378 ","    2.982 ","    7.606 ","     .570 ","   18.675 ","    2.533 ","    2.074 ","     .400 ","     .171 ","     .097 ","    74.485 ","   40.000 "
"11020 ","102086 ","VF 6/750  CAVA GRAN BARON BRUT ROS ","  6","   39.378 ","    2.982 ","    7.606 ","     .570 ","   18.675 ","    2.533 ","    2.074 ","     .400 ","     .171 ","     .097 ","    74.485 ","   40.000 "
"11060 ","102086 ","VF 6/750  CAVA GRAN BARON BRUT ROS ","  6","   39.378 ","    2.982 ","    7.606 ","     .570 ","          ","          ","          ","     .400 ","     .171 ","     .097 ","    51.203 ","   25.000 "
"11010 ","102087 ","VF 6/750  CAVA GRAN BARON SEMI SEC ","  6","   39.378 ","    2.982 ","    7.606 ","     .570 ","   18.675 ","    2.533 ","    2.074 ","     .400 ","     .171 ","     .097 ","    74.485 ","   40.000 "
"11020 ","102087 ","VF 6/750  CAVA GRAN BARON SEMI SEC ","  6","   39.378 ","    2.982 ","    7.606 ","     .570 ","   18.675 ","    2.533 ","    2.074 ","     .400 ","     .171 ","     .097 ","    74.485 ","   40.000 "
"11060 ","102087 ","VF 6/750  CAVA GRAN BARON SEMI SEC ","  6","   39.378 ","    2.982 ","    7.606 ","     .570 ","          ","          ","          ","     .400 ","     .171 ","     .097 ","    51.203 ","   25.000 "
"11010 ","102090 ","B&G 6/750  BG SAINT LOUIS BRUT     ","  6","   17.290 ","          ","    5.323 ","     .418 ","   18.676 ","    1.131 ","    1.018 ","     .258 ","     .110 ","     .062 ","    44.286 ","   40.000 "
"11020 ","102090 ","B&G 6/750  BG SAINT LOUIS BRUT     ","  6","   17.290 ","          ","    5.323 ","     .418 ","   18.676 ","    1.131 ","    1.018 ","     .258 ","     .110 ","     .062 ","    44.286 ","   40.000 "
"11060 ","102090 ","B&G 6/750  BG SAINT LOUIS BRUT     ","  6","   17.290 ","          ","    5.323 ","     .418 ","          ","          ","          ","     .258 ","     .110 ","     .062 ","    23.462 ","   35.000 "
"11010 ","102091 ","B&G 6/750  BG SAINT LOUIS DEMI SEC ","  6","   17.290 ","          ","    5.417 ","     .418 ","   18.675 ","    1.136 ","    1.022 ","     .259 ","     .110 ","     .062 ","    44.389 ","   40.000 "
"11020 ","102091 ","B&G 6/750  BG SAINT LOUIS DEMI SEC ","  6","   17.290 ","          ","    5.417 ","     .418 ","   18.675 ","    1.136 ","    1.022 ","     .259 ","     .110 ","     .062 ","    44.389 ","   40.000 "
"11060 ","102091 ","B&G 6/750  BG SAINT LOUIS DEMI SEC ","  6","   17.290 ","          ","    5.417 ","     .418 ","          ","          ","          ","     .259 ","     .110 ","     .062 ","    23.556 ","   25.000 "
"11010 ","102094 ","MARTINI 12/750 BM MARTINI ROSSI PR "," 12","  148.690 ","          ","          ","     .070 ","   37.350 ","    7.440 ","    6.700 ","          ","     .180 ","     .110 ","   200.540 ","   40.000 "
"11020 ","102094 ","MARTINI 12/750 BM MARTINI ROSSI PR "," 12","  148.690 ","          ","          ","     .070 ","   37.350 ","    7.440 ","    6.700 ","          ","     .180 ","     .110 ","   200.540 ","   40.000 "
"11060 ","102094 ","MARTINI 12/750 BM MARTINI ROSSI PR "," 12","  148.690 ","          ","          ","     .070 ","          ","          ","          ","          ","     .180 ","     .110 ","   149.050 ","   30.000 "
"11010 ","102096 ","VINO POETI GLD 2/750  DB CONFEZION ","  2","   85.049 ","     .363 ","    2.848 ","     .040 ","    6.228 ","   13.552 ","          ","     .763 ","     .122 ","     .065 ","   109.030 ","   40.000 "
"11020 ","102096 ","VINO POETI GLD 2/750  DB CONFEZION ","  2","   85.049 ","     .363 ","    2.848 ","     .040 ","    6.228 ","   13.552 ","          ","     .763 ","     .122 ","     .065 ","   109.030 ","   40.000 "
"11060 ","102096 ","VINO POETI GLD 2/750  DB CONFEZION ","  2","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","   45.000 "
"11010 ","102097 ","VINO POETI GLD 2/750  DB CONFEZION ","  2","   85.049 ","     .363 ","    2.848 ","     .040 ","    6.228 ","   13.446 ","          ","     .763 ","     .122 ","     .065 ","   108.924 ","   40.000 "
"11020 ","102097 ","VINO POETI GLD 2/750  DB CONFEZION ","  2","   85.049 ","     .363 ","    2.848 ","     .040 ","    6.228 ","   13.446 ","          ","     .763 ","     .122 ","     .065 ","   108.924 ","   40.000 "
"11060 ","102097 ","VINO POETI GLD 2/750  DB CONFEZION ","  2","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","   45.000 "
"11010 ","102098 ","VINO POETI GLD 2/2250 DB CONFEZION ","  2","  132.060 ","     .564 ","    4.423 ","     .062 ","   18.683 ","    6.880 ","          ","    1.149 ","     .190 ","     .101 ","   164.112 ","   40.000 "
"11020 ","102098 ","VINO POETI GLD 2/2250 DB CONFEZION ","  2","  132.060 ","     .564 ","    4.423 ","     .062 ","   18.683 ","    6.880 ","          ","    1.149 ","     .190 ","     .101 ","   164.112 ","   40.000 "
"11060 ","102098 ","VINO POETI GLD 2/2250 DB CONFEZION ","  2","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","   42.000 "
"11010 ","102099 ","VINO POETI GLD 2/2250 DB CONFEZION ","  2","   81.202 ","     .347 ","    2.720 ","     .038 ","   18.683 ","    4.230 ","          ","     .757 ","     .117 ","     .062 ","   108.156 ","   40.000 "
"11020 ","102099 ","VINO POETI GLD 2/2250 DB CONFEZION ","  2","   81.202 ","     .347 ","    2.720 ","     .038 ","   18.683 ","    4.230 ","          ","     .757 ","     .117 ","     .062 ","   108.156 ","   40.000 "
"11060 ","102099 ","VINO POETI GLD 2/2250 DB CONFEZION ","  2","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","   35.000 "
"11010 ","102100 ","VINO POETI GLD 3/750  DB CONFEZION ","  3","  121.162 ","     .517 ","    4.058 ","     .057 ","    9.342 ","   20.244 ","          ","    1.097 ","     .174 ","     .093 ","   156.744 ","   40.000 "
"11020 ","102100 ","VINO POETI GLD 3/750  DB CONFEZION ","  3","  121.162 ","     .517 ","    4.058 ","     .057 ","    9.342 ","   20.244 ","          ","    1.097 ","     .174 ","     .093 ","   156.744 ","   40.000 "
"11060 ","102100 ","VINO POETI GLD 3/750  DB CONFEZION ","  3","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","   45.000 "
"11010 ","102101 ","VINO POETI GLD 3/750  DB CONFEZION ","  3","  121.162 ","     .517 ","    4.058 ","     .057 ","    9.342 ","   20.094 ","          ","    1.096 ","     .174 ","     .093 ","   156.593 ","   40.000 "
"11020 ","102101 ","VINO POETI GLD 3/750  DB CONFEZION ","  3","  121.162 ","     .517 ","    4.058 ","     .057 ","    9.342 ","   20.094 ","          ","    1.096 ","     .174 ","     .093 ","   156.593 ","   40.000 "
"11060 ","102101 ","VINO POETI GLD 3/750  DB CONFEZION ","  3","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","   45.000 "
"11010 ","102103 ","VINO POETI PRO 6/750  DB GOLD IN   ","  6","  127.573 ","     .545 ","    4.273 ","     .059 ","   18.680 ","    6.640 ","          ","    1.114 ","     .184 ","     .098 ","   159.165 ","   40.000 "
"11020 ","102103 ","VINO POETI PRO 6/750  DB GOLD IN   ","  6","  127.573 ","     .545 ","    4.273 ","     .059 ","   18.680 ","    6.640 ","          ","    1.114 ","     .184 ","     .098 ","   159.165 ","   40.000 "
"11060 ","102103 ","VINO POETI PRO 6/750  DB GOLD IN   ","  6","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","   45.000 "
"11010 ","102104 ","VINO POETI PRO 6/750  DB ROSE GOLD ","  6","  127.573 ","     .545 ","    4.273 ","     .059 ","   18.680 ","    6.640 ","          ","    1.114 ","     .184 ","     .098 ","   159.165 ","   40.000 "
"11020 ","102104 ","VINO POETI PRO 6/750  DB ROSE GOLD ","  6","  127.573 ","     .545 ","    4.273 ","     .059 ","   18.680 ","    6.640 ","          ","    1.114 ","     .184 ","     .098 ","   159.165 ","   40.000 "
"11060 ","102104 ","VINO POETI PRO 6/750  DB ROSE GOLD ","  6","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","   41.000 "
"11010 ","102107 ","VINO POETI PRO 1/750  DB CONFEZION ","  1","   63.893 ","     .273 ","    2.140 ","     .030 ","    3.113 ","    6.303 ","          ","     .535 ","     .092 ","     .049 ","    76.428 ","   40.000 "
"11020 ","102107 ","VINO POETI PRO 1/750  DB CONFEZION ","  1","   63.893 ","     .273 ","    2.140 ","     .030 ","    3.113 ","    6.303 ","          ","     .535 ","     .092 ","     .049 ","    76.428 ","   40.000 "
"11060 ","102107 ","VINO POETI PRO 1/750  DB CONFEZION ","  1","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","   40.000 "
"11010 ","102108 ","VINO POETI GLD 24/200 DB GOLD PROS "," 24","   70.870 ","    7.765 ","    4.258 ","     .791 ","   19.920 ","    4.467 ","    4.020 ","     .660 ","     .208 ","     .117 ","   113.076 ","   40.000 "
"11020 ","102108 ","VINO POETI GLD 24/200 DB GOLD PROS "," 24","   70.870 ","    7.765 ","    4.258 ","     .791 ","   19.920 ","    4.467 ","    4.020 ","     .660 ","     .208 ","     .117 ","   113.076 ","   40.000 "
"11060 ","102108 ","VINO POETI GLD 24/200 DB GOLD PROS "," 24","   70.870 ","    7.765 ","    4.258 ","     .791 ","          ","          ","          ","     .660 ","     .208 ","     .117 ","    84.669 ","   35.000 "
"11010 ","102109 ","VINO POETI GLD 24/200 DB ROSE GOLD "," 24","   57.153 ","    6.262 ","    3.434 ","     .638 ","   19.920 ","    3.610 ","    3.245 ","     .555 ","     .167 ","     .095 ","    95.079 ","   40.000 "
"11020 ","102109 ","VINO POETI GLD 24/200 DB ROSE GOLD "," 24","   57.153 ","    6.262 ","    3.434 ","     .638 ","   19.920 ","    3.610 ","    3.245 ","     .555 ","     .167 ","     .095 ","    95.079 ","   40.000 "
"11060 ","102109 ","VINO POETI GLD 24/200 DB ROSE GOLD "," 24","   57.153 ","    6.262 ","    3.434 ","     .638 ","          ","          ","          ","     .555 ","     .167 ","     .095 ","    68.304 ","   35.000 "
"11010 ","102110 ","VINO POETI GLD 24/200 DB PETALO AM "," 24","   68.890 ","     .348 ","   12.562 ","     .051 ","   19.920 ","    3.860 ","    3.474 ","     .570 ","     .190 ","     .100 ","   109.965 ","   40.000 "
"11020 ","102110 ","VINO POETI GLD 24/200 DB PETALO AM "," 24","   68.890 ","     .348 ","   12.562 ","     .051 ","   19.920 ","    3.860 ","    3.474 ","     .570 ","     .190 ","     .100 ","   109.965 ","   40.000 "
"11060 ","102110 ","VINO POETI GLD 24/200 DB PETALO AM "," 24","   68.890 ","     .348 ","   12.562 ","     .051 ","          ","          ","          ","     .570 ","     .190 ","     .100 ","    82.711 ","   35.000 "
"11010 ","102111 ","VINO POETI GLD 24/200 DB POETI PRO "," 24","   66.297 ","    7.264 ","    3.984 ","     .740 ","   19.920 ","    4.200 ","    3.780 ","     .625 ","     .194 ","     .110 ","   107.114 ","   40.000 "
"11020 ","102111 ","VINO POETI GLD 24/200 DB POETI PRO "," 24","   66.297 ","    7.264 ","    3.984 ","     .740 ","   19.920 ","    4.200 ","    3.780 ","     .625 ","     .194 ","     .110 ","   107.114 ","   40.000 "
"11060 ","102111 ","VINO POETI GLD 24/200 DB POETI PRO "," 24","   66.297 ","    7.264 ","    3.984 ","     .740 ","          ","          ","          ","     .625 ","     .194 ","     .110 ","    79.214 ","   30.000 "
"11010 ","102113 ","B&G 6/750  BG SAINT LOUIS ROSE     ","  6","   20.930 ","    2.005 ","    2.868 ","     .471 ","   18.675 ","    1.290 ","    1.161 ","     .279 ","     .128 ","     .073 ","    47.879 ","   40.000 "
"11020 ","102113 ","B&G 6/750  BG SAINT LOUIS ROSE     ","  6","   20.930 ","    2.005 ","    2.868 ","     .471 ","   18.675 ","    1.290 ","    1.161 ","     .279 ","     .128 ","     .073 ","    47.879 ","   40.000 "
"11060 ","102113 ","B&G 6/750  BG SAINT LOUIS ROSE     ","  6","   20.930 ","    2.005 ","    2.868 ","     .471 ","          ","          ","          ","     .279 ","     .128 ","     .073 ","    26.753 ","   25.000 "
"11010 ","102114 ","LA MARCA 12/750 EJ LA MARCA PROSEC "," 12","  200.200 ","     .505 ","   22.986 ","    1.950 ","   37.350 ","   11.206 ","   10.086 ","    1.330 ","     .486 ","     .275 ","   286.374 ","   30.000 "
"11020 ","102114 ","LA MARCA 12/750 EJ LA MARCA PROSEC "," 12","  200.200 ","     .505 ","   22.986 ","    1.950 ","   37.350 ","   11.206 ","   10.086 ","    1.330 ","     .486 ","     .275 ","   286.374 ","   30.000 "
"11060 ","102114 ","LA MARCA 12/750 EJ LA MARCA PROSEC "," 12","  200.200 ","     .505 ","   22.986 ","    1.950 ","          ","          ","          ","    1.330 ","     .486 ","     .275 ","   227.732 ","   16.000 "
"11010 ","102115 ","SPERONE 12/750 LA SPERONE RED SPUM "," 12","   59.120 ","          ","    9.678 ","     .100 ","   36.000 ","    3.080 ","          ","     .610 ","     .210 ","     .110 ","   108.908 ","   40.000 "
"11020 ","102115 ","SPERONE 12/750 LA SPERONE RED SPUM "," 12","   59.120 ","          ","    9.678 ","     .100 ","   36.000 ","    3.080 ","          ","     .610 ","     .210 ","     .110 ","   108.908 ","   40.000 "
"11060 ","102115 ","SPERONE 12/750 LA SPERONE RED SPUM "," 12","   59.120 ","          ","    9.678 ","     .100 ","          ","          ","          ","     .610 ","     .210 ","     .110 ","    69.828 ","          "
"11010 ","102116 ","SARTORI 6/750  SARTORI MOSCATO SPU ","  6","   31.959 ","          ","    5.119 ","     .360 ","   18.000 ","    1.918 ","    1.727 ","     .348 ","     .126 ","     .067 ","    59.625 ","   40.000 "
"11020 ","102116 ","SARTORI 6/750  SARTORI MOSCATO SPU ","  6","   31.959 ","          ","    5.119 ","     .360 ","   18.000 ","    1.918 ","    1.727 ","     .348 ","     .126 ","     .067 ","    59.625 ","   40.000 "
"11060 ","102116 ","SARTORI 6/750  SARTORI MOSCATO SPU ","  6","   31.959 ","          ","    5.119 ","     .360 ","          ","          ","          ","     .348 ","     .126 ","     .067 ","    37.980 ","          "
"11010 ","102118 ","SARTORI 6/750  SARTORI PROSECCO FR ","  6","   40.646 ","          ","   10.910 ","     .045 ","   18.675 ","    2.496 ","    2.247 ","     .416 ","     .101 ","     .063 ","    75.598 ","   40.000 "
"11020 ","102118 ","SARTORI 6/750  SARTORI PROSECCO FR ","  6","   40.646 ","          ","   10.910 ","     .045 ","   18.675 ","    2.496 ","    2.247 ","     .416 ","     .101 ","     .063 ","    75.598 ","   40.000 "
"11060 ","102118 ","SARTORI 6/750  SARTORI PROSECCO FR ","  6","   40.646 ","          ","   10.910 ","     .045 ","          ","          ","          ","     .416 ","     .101 ","     .063 ","    52.180 ","   55.000 "
"11010 ","102119 ","LA MARCA 24/187 EJ LA MARCA PROSEC "," 24","  140.140 ","     .353 ","   16.090 ","    1.365 ","   18.675 ","    7.846 ","    7.060 ","     .931 ","     .340 ","     .193 ","   192.994 ","   30.000 "
"11020 ","102119 ","LA MARCA 24/187 EJ LA MARCA PROSEC "," 24","  140.140 ","     .353 ","   16.090 ","    1.365 ","   18.675 ","    7.846 ","    7.060 ","     .931 ","     .340 ","     .193 ","   192.994 ","   30.000 "
"11060 ","102119 ","LA MARCA 24/187 EJ LA MARCA PROSEC "," 24","  140.140 ","     .353 ","   16.090 ","    1.365 ","          ","          ","          ","     .931 ","     .340 ","     .193 ","   159.412 ","          "
"11010 ","102123 ","LA ROCHE 6/750  LA ROCHE SPARKLING ","  6","   15.330 ","          ","    4.780 ","     .308 ","   18.679 ","    1.053 ","     .948 ","     .251 ","     .073 ","     .046 ","    41.468 ","   45.000 "
"11020 ","102123 ","LA ROCHE 6/750  LA ROCHE SPARKLING ","  6","   15.330 ","          ","    4.780 ","     .308 ","   18.679 ","    1.053 ","     .948 ","     .251 ","     .073 ","     .046 ","    41.468 ","   45.000 "
"11060 ","102123 ","LA ROCHE 6/750  LA ROCHE SPARKLING ","  6","   15.330 ","          ","    4.780 ","     .308 ","          ","          ","          ","     .251 ","     .073 ","     .046 ","    20.787 ","   70.000 "
"11010 ","102124 ","SPERONE 12/750 SPERONE PROSECCO RO "," 12","   86.734 ","    5.788 ","    6.854 ","    1.274 ","   37.350 ","    4.957 ","    4.462 ","     .868 ","     .334 ","     .189 ","   148.810 ","   40.000 "
"11020 ","102124 ","SPERONE 12/750 SPERONE PROSECCO RO "," 12","   86.734 ","    5.788 ","    6.854 ","    1.274 ","   37.350 ","    4.957 ","    4.462 ","     .868 ","     .334 ","     .189 ","   148.810 ","   40.000 "
"11060 ","102124 ","SPERONE 12/750 SPERONE PROSECCO RO "," 12","   86.734 ","    5.788 ","    6.854 ","    1.274 ","          ","          ","          ","     .868 ","     .334 ","     .189 ","   102.041 ","          "
"11010 ","102125 ","FRESITA 1/200  FRESITA             ","  1","    3.046 ","          ","     .184 ","     .028 ","     .300 ","     .118 ","     .083 ","     .023 ","     .011 ","     .006 ","     3.799 ","   40.000 "
"11020 ","102125 ","FRESITA 1/200  FRESITA             ","  1","    3.046 ","          ","     .184 ","     .028 ","     .300 ","     .118 ","     .083 ","     .023 ","     .011 ","     .006 ","     3.799 ","   40.000 "
"11060 ","102125 ","FRESITA 1/200  FRESITA             ","  1","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","          "
"11010 ","102126 ","VINO POETI PRO 6/750  DB POETI PRO ","  6","   51.438 ","    5.636 ","    3.091 ","     .574 ","   19.100 ","    3.260 ","    2.940 ","     .506 ","     .151 ","     .085 ","    86.781 ","   40.000 "
"11020 ","102126 ","VINO POETI PRO 6/750  DB POETI PRO ","  6","   51.438 ","    5.636 ","    3.091 ","     .574 ","   19.100 ","    3.260 ","    2.940 ","     .506 ","     .151 ","     .085 ","    86.781 ","   40.000 "
