"WHSE  ","ITEM   ","DESCRIPT                           ","U/C","   COST01 ","   COST02 ","   COST03 ","   COST04 ","   COST05 ","   COST06 ","   COST07 ","   COST08 ","   COST09 ","   COST10 ","    TOTAL  ","   COST99 "
"11060 ","00518  ","SQ ICE RASPBRY 120/65GR            "," 60","   25.774 ","          ","    3.848 ","     .443 ","          ","          ","          ","     .213 ","     .120 ","     .075 ","    30.473 ","          "
"11010 ","00520  ","AMORMIO MANDAR 16/250              "," 16","   19.102 ","     .413 ","    6.515 ","     .067 ","     .395 ","          ","    1.167 ","     .163 ","     .207 ","     .110 ","    28.138 ","          "
"11020 ","00520  ","AMORMIO MANDAR 16/250              "," 16","   19.102 ","     .413 ","    6.515 ","     .067 ","     .395 ","          ","    1.167 ","     .163 ","     .207 ","     .110 ","    28.138 ","          "
"11060 ","00520  ","AMORMIO MANDAR 16/250              "," 16","   19.102 ","     .413 ","    6.515 ","     .067 ","          ","          ","          ","     .163 ","     .207 ","     .110 ","    26.576 ","          "
"11010 ","00527  ","COCONUT PINEAP 12/18 OZ            "," 12","   27.264 ","     .261 ","    3.904 ","     .049 ","    1.682 ","          ","    1.377 ","     .203 ","     .143 ","     .076 ","    34.959 ","   35.000 "
"11010 ","00541  ","MOTTS APPLE RG 8/64 OZ             ","  8","   29.175 ","     .280 ","    4.178 ","     .052 ","    1.800 ","          ","    1.473 ","     .218 ","     .153 ","     .082 ","    37.410 ","   35.000 "
"11010 ","00542  ","MOTTS APPL100% 4/1 G               ","  4","   31.795 ","     .305 ","    4.553 ","     .057 ","    1.962 ","          ","    1.605 ","     .237 ","     .167 ","     .089 ","    40.771 ","   35.000 "
"11010 ","00543  ","MOTTS APPL100% 24/10               "," 24","   24.515 ","     .235 ","    3.511 ","     .044 ","    1.513 ","          ","    1.238 ","     .183 ","     .128 ","     .069 ","    31.436 ","   35.000 "
"11010 ","00552  ","MOTTS APPLE RG 12/32 OZ            "," 12","   30.649 ","     .294 ","    4.389 ","     .055 ","    1.891 ","          ","    1.547 ","     .228 ","     .161 ","     .086 ","    39.300 ","   35.000 "
"11010 ","00557  ","MMT BLDY MARY 6/33.8 OZ            ","  6","   28.155 ","     .270 ","    4.032 ","     .051 ","    1.737 ","          ","    1.422 ","     .210 ","     .147 ","     .079 ","    36.103 ","   35.000 "
"11010 ","00558  ","CLAMATO CAN 4P 24/5.5 OZ           "," 24","   17.800 ","     .171 ","    2.549 ","     .032 ","    1.098 ","          ","     .899 ","     .133 ","     .093 ","     .050 ","    22.824 ","   35.000 "
"11010 ","00567  ","COLA CANS 12OZ 12/12OZ             "," 12","   11.340 ","          ","          ","          ","          ","          ","          ","          ","          ","          ","    11.340 ","          "
"11020 ","00567  ","COLA CANS 12OZ 12/12OZ             "," 12","   12.210 ","          ","          ","          ","          ","          ","          ","          ","          ","          ","    12.210 ","          "
"11060 ","00567  ","COLA CANS 12OZ 12/12OZ             "," 12","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","          "
"11010 ","00568  ","ZERO CANS 12OZ 12/12OZ             "," 12","   11.340 ","          ","          ","          ","          ","          ","          ","          ","          ","          ","    11.340 ","          "
"11020 ","00568  ","ZERO CANS 12OZ 12/12OZ             "," 12","   11.340 ","          ","          ","          ","          ","          ","          ","          ","          ","          ","    11.340 ","          "
"11060 ","00568  ","ZERO CANS 12OZ 12/12OZ             "," 12","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","          "
"11010 ","00569  ","SPRITE CAN 12Z 12/12OZ             "," 12","   11.340 ","          ","          ","          ","          ","          ","          ","          ","          ","          ","    11.340 ","          "
"11020 ","00569  ","SPRITE CAN 12Z 12/12OZ             "," 12","   12.210 ","          ","          ","          ","          ","          ","          ","          ","          ","          ","    12.210 ","          "
"11060 ","00569  ","SPRITE CAN 12Z 12/12OZ             "," 12","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","          "
"11010 ","00570  ","SUNLOLLY ORANG 96/60ML             "," 96","   30.711 ","          ","    4.052 ","     .554 ","     .578 ","          ","    1.636 ","          ","     .119 ","     .067 ","    37.717 ","          "
"11020 ","00570  ","SUNLOLLY ORANG 96/60ML             "," 96","   30.711 ","          ","    4.052 ","     .554 ","     .578 ","          ","    1.636 ","          ","     .119 ","     .067 ","    37.717 ","          "
"11060 ","00570  ","SUNLOLLY ORANG 96/60ML             "," 96","   30.711 ","          ","    4.052 ","     .554 ","          ","          ","          ","          ","     .119 ","     .067 ","    35.503 ","          "
"11010 ","00571  ","SUNLOLLY STRWB 96/60ML             "," 96","   30.635 ","          ","    5.238 ","     .436 ","     .578 ","          ","    1.635 ","     .215 ","     .119 ","     .067 ","    38.922 ","          "
"11020 ","00571  ","SUNLOLLY STRWB 96/60ML             "," 96","   30.635 ","          ","    5.238 ","     .436 ","     .578 ","          ","    1.635 ","     .215 ","     .119 ","     .067 ","    38.922 ","          "
"11060 ","00571  ","SUNLOLLY STRWB 96/60ML             "," 96","   30.635 ","          ","    5.238 ","     .436 ","          ","          ","          ","     .215 ","     .119 ","     .067 ","    36.709 ","          "
"11010 ","00572  ","SUNLOLLY EXOTI 96/60ML             "," 96","   30.711 ","          ","    4.052 ","     .554 ","     .578 ","          ","    1.636 ","     .215 ","     .119 ","     .067 ","    37.932 ","          "
"11020 ","00572  ","SUNLOLLY EXOTI 96/60ML             "," 96","   30.711 ","          ","    4.052 ","     .554 ","     .578 ","          ","    1.636 ","     .215 ","     .119 ","     .067 ","    37.932 ","          "
"11060 ","00572  ","SUNLOLLY EXOTI 96/60ML             "," 96","   30.711 ","          ","    4.052 ","     .554 ","          ","          ","          ","     .215 ","     .119 ","     .067 ","    35.718 ","          "
"11010 ","00573  ","SUNLOLLY RASPB 96/60ML             "," 96","   30.711 ","          ","    4.052 ","     .554 ","     .578 ","          ","    1.636 ","     .215 ","     .119 ","     .067 ","    37.932 ","          "
"11020 ","00573  ","SUNLOLLY RASPB 96/60ML             "," 96","   30.711 ","          ","    4.052 ","     .554 ","     .578 ","          ","    1.636 ","     .215 ","     .119 ","     .067 ","    37.932 ","          "
"11060 ","00573  ","SUNLOLLY RASPB 96/60ML             "," 96","   30.711 ","          ","    4.052 ","     .554 ","          ","          ","          ","     .215 ","     .119 ","     .067 ","    35.718 ","          "
"11010 ","00574  ","SUNLOLLY LEMON 96/60ML             "," 96","   30.711 ","          ","    4.052 ","     .554 ","     .578 ","          ","    1.636 ","          ","     .119 ","     .067 ","    37.717 ","          "
"11020 ","00574  ","SUNLOLLY LEMON 96/60ML             "," 96","   30.711 ","          ","    4.052 ","     .554 ","     .578 ","          ","    1.636 ","          ","     .119 ","     .067 ","    37.717 ","          "
"11060 ","00574  ","SUNLOLLY LEMON 96/60ML             "," 96","   30.711 ","          ","    4.052 ","     .554 ","          ","          ","          ","          ","     .119 ","     .067 ","    35.503 ","          "
"11010 ","00575  ","SUN LOLLY MIX 96/60ML              "," 96","   29.415 ","          ","    5.064 ","     .394 ","     .578 ","          ","    1.476 ","          ","          ","          ","    36.927 ","          "
"11020 ","00575  ","SUN LOLLY MIX 96/60ML              "," 96","   29.415 ","          ","    5.064 ","     .394 ","     .578 ","          ","    1.476 ","          ","          ","          ","    36.927 ","          "
"11060 ","00575  ","SUN LOLLY MIX 96/60ML              "," 96","          ","          ","          ","          ","          ","          ","          ","          ","          ","          ","           ","          "
