"ITEM   ","DESCRIPT                           ","U/C","    COST01 ","   COST02 ","   COST03 ","   COST04 ","   COST05 ","   COST06 ","   COST07 ","   COST08 ","   COST09 ","   COST10 ","    TOTAL  "
"101146 ","PALO ALTO 12/750 PA SAUVIGNON BLAN "," 12","    58.240 ","          ","    4.492 ","    1.072 ","   13.500 ","    3.240 ","    8.893 ","     .612 ","     .943 ","     .508 ","    91.500 "
"101147 ","VITRAL 12/750 VM VITRAL CABERNET S "," 12","    83.720 ","          ","    4.825 ","     .677 ","   13.500 ","    4.102 ","     .190 ","     .752 ","     .315 ","     .168 ","   108.249 "
"101148 ","TRIO 12/750 CT TRIO CABERNET-SH-C. "," 12","    95.550 ","     .846 ","   10.021 ","     .169 ","   36.000 ","    5.329 ","    4.796 ","     .627 ","     .522 ","     .279 ","   154.139 "
"101149 ","ESCUDO ROJO 6/750  BPDRC ESCUDO RO ","  6","    66.430 ","          ","    5.714 ","     .853 ","    6.750 ","    3.543 ","          ","     .703 ","     .128 ","     .068 ","    84.190 "
"101150 ","MAPU 12/750 BPDRC MAPU MERLOT      "," 12","    52.416 ","          ","    8.450 ","     .985 ","   36.000 ","    2.996 ","    2.697 ","     .604 ","     .213 ","     .134 ","   104.496 "
"101151 ","MAPU 12/750 BPDRC MAPU CABERNET SA "," 12","    52.416 ","          ","    8.450 ","     .985 ","   36.000 ","    2.998 ","    2.698 ","     .604 ","     .213 ","     .134 ","   104.498 "
"101152 ","MAPU 12/750 BPDRC MAPU SAUVIGNON B "," 12","    52.416 ","          ","    8.450 ","     .985 ","   36.000 ","    3.020 ","    2.710 ","     .604 ","     .213 ","     .134 ","   104.532 "
"101158 ","VINA MAIPO 6/750  VM G.DEVOCION CA ","  6","    54.600 ","          ","    4.150 ","     .820 ","    6.750 ","    2.922 ","   26.030 ","     .595 ","     .189 ","     .106 ","    96.162 "
"101159 ","SERIE RIBEIRAS 12/750 CT S.RIBERAS "," 12","   138.320 ","          ","   10.203 ","    2.185 ","   13.500 ","    7.426 ","    6.268-","    1.439 ","     .630 ","     .336 ","   167.771 "
"101160 ","MARQUES 12/750 MARQUES CASA CONCHA "," 12","   182.000 ","    1.630 ","   19.640 ","     .330 ","   36.000 ","   10.170 ","    9.150 ","    1.520 ","    1.010 ","     .540 ","   261.990 "
"101161 ","CARMIN DE PEU 6/750  CT CARMIN DE  ","  6","   741.660 ","          ","          ","          ","          ","          ","          ","          ","          ","          ","   741.660 "
"101162 ","MARQUES 12/750 MARQUES CASA CONCHA "," 12","   182.000 ","          ","   13.903 ","    2.848 ","   13.500 ","    9.795 ","    4.172-","    1.905 ","     .822 ","     .439 ","   221.040 "
"101163 ","MARQUES 12/750 MARQUES CASA CONCHA "," 12","   185.640 ","    9.334 ","   23.043 ","    2.534 ","   36.000 ","    9.750 ","    9.810 ","    1.530 ","     .740 ","     .400 ","   278.781 "
"101164 ","DON MELCHOR 6/750  CT DON MELCHOR  ","  6","   864.500 ","    8.072 ","   92.160 ","    2.758 ","   18.000 ","   47.025 ","   47.025 ","    5.694 ","    3.526 ","    2.218 ","  1090.979 "
"101165 ","ALMAVIVA 6/750  CT ALMAVIVA        ","  6","   709.800 ","          ","   36.745 ","    8.710 ","    6.750 ","   37.328 ","   19.652-","    7.002 ","    2.598 ","    1.400 ","   790.681 "
"101166 ","DON MELCHOR 6/750  DON MELCHOR 201 ","  6","   773.500 ","    9.520 ","   69.929 ","    1.995 ","   18.000 ","   38.810 ","   34.930 ","    4.610 ","    2.745 ","    1.465 ","   955.504 "
"101167 ","DON MELCHOR 6/750  CT DON MELCHOR  ","  6","   973.700 ","    9.092 ","  103.802 ","    3.107 ","   18.000 ","   52.965 ","   52.965 ","    6.413 ","    3.972 ","    2.498 ","  1226.513 "
"101169 ","ALMAVIVA 6/750  CT ALMAVIVA 2007/2 ","  6","   791.700 ","          ","   51.840 ","   12.620 ","    6.750 ","   44.419 ","     .020 ","    8.320 ","    3.640 ","    1.940 ","   921.249 "
"101170 ","ALMAVIVA 6/750  CT ALMAVIVA 2009   ","  6","  1001.000 ","          ","   65.540 ","   15.960 ","    6.750 ","   56.162 ","     .058 ","   10.524 ","    4.604 ","    2.458 ","  1163.056 "
"101171 ","VITRAL 12/750 VM VITRAL MERLOT     "," 12","    70.070 ","          ","    6.960 ","     .120 ","   13.500 ","    3.880 ","          ","     .670 ","     .380 ","     .200 ","    95.780 "
"101172 ","CASILLERO 12/750 CASILLERO DEL DIA "," 12","    75.530 ","     .545 ","    6.568 ","     .109 ","   36.000 ","    4.129 ","    3.716 ","     .487 ","     .336 ","     .180 ","   127.601 "
"101173 ","CASILLERO 12/750 CASILLERO DEL DIA "," 12","    75.530 ","     .669 ","    7.921 ","     .134 ","   36.000 ","    4.212 ","    3.791 ","     .496 ","     .413 ","     .220 ","   129.386 "
"101176 ","TRIO 12/750 CT TRIO MERLOT-CARM-CA "," 12","    95.550 ","     .920 ","   10.690 ","    1.870 ","   36.000 ","    5.360 ","    4.780 ","     .850 ","     .360 ","     .190 ","   156.570 "
"101177 ","CASILLERO 12/750 CASILLERO DEL DIA "," 12","    87.360 ","          ","   10.925 ","    1.148 ","   36.000 ","    5.050 ","    4.545 ","     .600 ","          ","          ","   145.628 "
"101179 ","FRONTERA 6/1500 CT FRONTERA MERLOT ","  6","    52.416 ","          ","    6.555 ","     .689 ","   36.000 ","    3.027 ","    2.724 ","     .360 ","          ","          ","   101.771 "
"101181 ","FRONTERA 12/750 CT FRONTERA LATE H "," 12","    42.315 ","          ","    2.857 ","     .666 ","   13.500 ","    2.259 ","     .528 ","     .450 ","     .199 ","     .107 ","    62.880 "
"101182 ","FRONTERA 12/750 CT FRONTERA MERLOT "," 12","    43.043 ","          ","    6.725 ","     .617 ","   36.000 ","    2.489 ","    2.240 ","     .297 ","     .172 ","     .097 ","    91.678 "
"101183 ","FRONTERA 12/750 CT FRONTERA CHARDO "," 12","    43.040 ","          ","    7.370 ","     .722 ","   36.000 ","    3.038 ","    2.734 ","     .362 ","     .170 ","     .107 ","    93.544 "
"101184 ","FRONTERA 12/750 CT FRONTERA CABERN "," 12","    43.043 ","          ","    6.166 ","     .364 ","   36.000 ","    2.489 ","    2.240 ","     .297 ","     .172 ","     .097 ","    90.867 "
"101185 ","FRONTERA 12/750 CT FRONTERA SAUVIG "," 12","    43.040 ","          ","    7.370 ","     .620 ","   36.000 ","    2.490 ","    2.240 ","     .300 ","     .170 ","     .100 ","    92.330 "
"101187 ","FRONTERA 6/750  CT FRONTERA PINOT  ","  6","    20.111 ","          ","    1.988 ","     .432 ","    6.750 ","    1.100 ","    1.000 ","     .228 ","     .125 ","     .067 ","    31.800 "
"101188 ","HUGEL 12/750 HF RIESLING           "," 12","   206.010 ","          ","   22.888 ","    1.264 ","   13.500 ","   10.890 ","    4.789-","    1.972 ","    1.107 ","     .597 ","   253.440 "
"101189 ","HUGEL 12/750 HF PINOT BLANC        "," 12","   127.528 ","          ","   29.318 ","     .550 ","   13.500 ","    7.505 ","   24.850 ","    1.348 ","    2.660 ","    1.420 ","   208.680 "
"101192 ","HUGEL 12/750 HF GEWURTZRAMINER     "," 12","   209.081 ","          ","   48.066 ","     .904 ","   13.500 ","   12.305 ","   10.398-","    2.210 ","    4.362 ","    2.330 ","   282.360 "
"101193 ","PASSEPORT 12/750 BG PASSEPORT ROSE "," 12","    81.900 ","          ","   11.909 ","    1.035 ","   36.000 ","    4.720 ","    4.248 ","     .823 ","     .298 ","     .159 ","   141.091 "
"101194 ","PARTAGER 12/750 BG PARTAGER ROSE   "," 12","    45.318 ","    4.340 ","    6.209 ","    1.020 ","   36.000 ","    2.810 ","    2.525 ","     .578 ","     .278 ","     .157 ","    99.235 "
"101196 ","MOREAU 12/750 MF MOREAU ROSE       "," 12","    44.178 ","          ","    8.376 ","     .678 ","   36.000 ","    2.473 ","    2.226 ","     .553 ","     .189 ","     .101 ","    94.775 "
"101198 ","PAUL BOCUSE 12/750 PB BEAUJOLAIS N "," 12","   113.670 ","          ","  212.911 ","   50.440 ","   13.560 ","   13.800 ","          ","          ","          ","          ","   404.381 "
"101199 ","LOUIS LATOUR 12/750 ML FLEURI LES  "," 12","   190.093 ","    9.767 ","   10.071 ","    1.653 ","   36.000 ","   10.364 ","    9.327 ","    1.573 ","     .405 ","     .255 ","   269.508 "
"101200 ","PASSEPORT 12/750 BG PASSEPORT BEAU "," 12","   107.380 ","          ","   15.613 ","    1.356 ","   36.000 ","    6.188 ","    5.569 ","    1.013 ","     .391 ","     .209 ","   173.721 "
"101204 ","PASSEPORT 6/750  BG PASSEPORT BORD ","  6","    54.576 ","          ","   12.028 ","    1.200 ","   18.000 ","    3.336 ","    3.004 ","     .542 ","     .294 ","     .185 ","    93.165 "
"101205 ","PASSEPORT 6/750  BG PASSEPORT BORD ","  6","    51.324 ","          ","    7.463 ","     .648 ","   18.000 ","    2.958 ","    2.662 ","     .489 ","     .187 ","     .100 ","    83.830 "
"101215 ","PASSEPORT 6/750  BG PASSEPORT MARG ","  6","   141.960 ","          ","   20.330 ","    2.070 ","    6.780 ","    8.160 ","          ","    1.550 ","     .330 ","     .170 ","   181.350 "
"101217 ","CLEMENT PICHON 12/750 JM CH. CLEME "," 12","   362.520 ","          ","   39.980 ","    1.637 ","   13.500 ","   27.354 ","   56.140 ","    3.113 ","    6.683 ","    3.570 ","   514.497 "
"101226 ","B&G RESERVE 12/750 BG MERLOT RESER "," 12","    69.524 ","    6.659 ","    9.525 ","    1.564 ","   36.000 ","    4.300 ","    3.870 ","     .774 ","     .426 ","     .241 ","   132.883 "
"101227 ","B&G RESERVE 12/750 BG CABERNET SAU "," 12","    69.524 ","    6.659 ","    9.525 ","    1.564 ","   36.000 ","    4.300 ","    3.870 ","     .774 ","     .426 ","     .241 ","   132.883 "
"101228 ","BPDR FRANCE 12/750 BPDR M.CADET RO "," 12","   156.520 ","          ","    8.960 ","    1.130 ","   36.000 ","    8.630 ","    7.760 ","    1.290 ","     .330 ","     .170 ","   220.790 "
"101229 ","B&G RESERVE 6/750  BG SHIRAZ ROSE  ","  6","    36.400 ","    3.486 ","    4.987 ","     .819 ","   18.000 ","    2.246 ","    2.021 ","     .400 ","     .223 ","     .126 ","    68.709 "
"101232 ","B&G 6/750  BG CHATEAU BARRAIL LAUS ","  6","    47.502 ","    5.029 ","    6.301 ","     .693 ","   18.000 ","    2.950 ","    2.657 ","     .489 ","     .164 ","     .103 ","    83.889 "
"101233 ","B&G 6/750  BG CHATEAU MALBEC       ","  6","    34.762 ","    3.329 ","    4.763 ","     .782 ","   18.400 ","    2.160 ","    1.940 ","     .389 ","     .213 ","     .121 ","    66.859 "
"101234 ","B&G 6/750  BG CHATEAU LATOUR CAMBL ","  6","    70.616 ","          ","   10.268 ","     .892 ","   18.000 ","    4.070 ","    3.663 ","     .633 ","     .257 ","     .137 ","   108.535 "
"101237 ","BPDR FRANCE 6/750  BPDR SYRAH      ","  6","    41.733 ","          ","    2.378 ","     .304 ","   18.087 ","    2.209 ","    1.987 ","     .393 ","     .072 ","     .045 ","    67.206 "
"101238 ","BPDR FRANCE 6/750  BPDR CABERNET S ","  6","    36.400 ","          ","    3.181 ","     .467 ","    6.750 ","    1.938 ","    3.711 ","     .372 ","     .066 ","     .035 ","    52.920 "
"101239 ","BPDR FRANCE 12/750 BPDR M.CADET SA "," 12","   120.848 ","     .410 ","   15.960 ","    2.180 ","   13.500 ","    6.422 ","    1.680 ","    1.193 ","     .135 ","     .072 ","   162.400 "
"101240 ","B&G RESERVE 12/750 BG SAUVIGNON BL "," 12","    74.588 ","          ","   16.438 ","    1.641 ","   36.000 ","    4.552 ","    4.098 ","     .808 ","     .402 ","     .253 ","   138.779 "
"101241 ","BPDR FRANCE 12/750 BPDR M.CADET BL "," 12","   136.100 ","   12.227 ","   13.897 ","    2.282 ","   36.000 ","    8.121 ","    7.307 ","    1.271 ","     .559 ","     .351 ","   218.114 "
"101242 ","BPDR FRANCE 12/750 BPDR LE ROSE DE "," 12","   138.320 ","     .410 ","    7.920 ","    1.000 ","   36.000 ","    7.620 ","    6.860 ","    1.160 ","     .290 ","     .150 ","   199.730 "
"101246 ","LOUIS LATOUR 12/750 ML PINOT NOIR  "," 12","   200.294 ","    9.137 ","    9.839 ","    1.299 ","   36.000 ","   10.491 ","    9.442 ","    1.590 ","     .410 ","     .258 ","   278.761 "
"101250 ","BPDR FRANCE 6/750  BPDR PINOT NOIR ","  6","    41.733 ","    5.585 ","    3.519 ","     .578 ","   18.000 ","    2.543 ","    2.289 ","     .437 ","     .157 ","     .089 ","    74.930 "
"101257 ","LOUIS LATOUR 12/750 ML POUILLY FUI "," 12","   343.787 ","          ","   23.031 ","    2.100 ","   36.000 ","   19.378 ","   17.440 ","    2.996 ","     .573 ","     .306 ","   445.611 "
"101258 ","LOUIS LATOUR 12/750 ML BOURGOGNE C "," 12","   177.103 ","          ","    9.508 ","     .463 ","   36.000 ","   10.583 ","    9.524 ","     .920 ","     .190 ","     .100 ","   244.391 "
"101259 ","LOUIS LATOUR 12/750 ML PULIGNY MON "," 12","  1043.749 ","          ","   65.310 ","    6.460 ","   36.000 ","   55.116 ","   49.604 ","    7.393 ","    1.850 ","     .988 ","  1266.469 "
"101260 ","MOREAU 12/750 MF BOURGOGNE CHARDON "," 12","   156.426 ","          ","   26.558 ","    2.633 ","   13.500 ","    8.690 ","   18.889-","    1.723 ","     .102 ","     .057 ","   190.800 "
"101261 ","PASSEPORT 12/750 BG PASSEPORT CHAB "," 12","   220.220 ","          ","   39.970 ","    2.860 ","   13.500 ","   12.830 ","          ","    1.700 ","     .830 ","     .440 ","   292.350 "
"101262 ","LOUIS LATOUR 12/750 ML CHABLIS     "," 12","   320.471 ","   14.620 ","   15.742 ","    2.078 ","   36.000 ","   16.264 ","   14.641 ","    2.348 ","     .636 ","     .400 ","   423.199 "
"101263 ","MOREAU 12/750 MF CHABLIS 1ER CRU F "," 12","   406.689 ","          ","  117.520 ","    4.690 ","   13.560 ","   21.840 ","    6.381 ","    4.920 ","    2.060 ","    1.100 ","   578.760 "
"101264 ","MOREAU 12/750 MF CHABLIS 1ER CRU V "," 12","   311.254 ","          ","   48.358 ","    4.396 ","   13.500 ","   16.555 ","   53.127 ","    3.406 ","    1.406 ","     .758 ","   452.760 "
"101265 ","MOREAU 12/750 MF CHABLIS           "," 12","   167.920 ","          ","   33.720 ","    2.650 ","   13.500 ","   10.140 ","          ","    1.610 ","     .760 ","     .410 ","   230.710 "
"101268 ","LOUIS LATOUR 12/750 ML MARSANNAY R "," 12","   271.050 ","          ","   23.940 ","    2.210 ","   13.500 ","   16.210 ","          ","    2.086 ","     .189 ","     .210 ","   329.395 "
"101269 ","LOUIS LATOUR 12/750 ML CLOS DE VOU "," 12","  2301.053 ","          ","  149.630 ","   14.530 ","   13.500 ","  118.494 ","  313.990 ","   21.380 ","     .940 ","     .350 ","  2933.868 "
"101270 ","LOUIS LATOUR 12/750 ML SAVIGNY LES "," 12","   375.326 ","          ","   33.475 ","    1.740 ","   13.500 ","   20.806 ","   28.020 ","    3.550 ","     .325 ","     .175 ","   476.917 "
"101271 ","LOUIS LATOUR 12/750 ML SANTENAY    "," 12","   343.320 ","          ","   30.320 ","    2.760 ","   13.500 ","   20.520 ","          ","    2.671 ","     .244 ","     .260 ","   413.595 "
"101272 ","CH. MINUTY 12/750 CM CHATEAU M DE  "," 12","   165.174 ","   10.387 ","   12.219 ","    2.006 ","   36.000 ","    8.566 ","    7.709 ","    1.425 ","     .491 ","     .309 ","   244.287 "
"101273 ","CH. MINUTY 12/750 CM CH. MINUTY CR "," 12","   182.575 ","          ","   36.262 ","    1.594 ","   13.500 ","    9.730 ","   27.549 ","    1.930 ","     .456 ","     .244 ","   273.840 "
"101274 ","LOUIS LATOUR 12/750 ML MEURSAULT   "," 12","   835.508 ","          ","   44.858 ","    2.185 ","   36.000 ","   49.925 ","   44.932 ","    5.695 ","     .520 ","     .280 ","  1019.901 "
"101275 ","LOUIS LATOUR 12/750 ML CHASSAGNE M "," 12","   893.847 ","          ","   47.990 ","    2.337 ","   36.000 ","   53.411 ","   48.069 ","    5.463 ","    1.067 ","     .600 ","  1088.784 "
"101276 ","LOUIS LATOUR 12/750 ML CHEVALIER M "," 12","  4633.320 ","          ","  371.780 ","   20.740 ","   13.560 ","  238.920 ","          ","   43.510 ","    1.930 ","    1.030 ","  5324.790 "
"101277 ","B&G 6/750  BG CHATEAU HOURTOU      ","  6","    69.888 ","          ","   19.730 ","     .961 ","   18.675 ","    4.456 ","    4.011 ","     .614 ","     .248 ","     .132 ","   118.715 "
"101278 ","LOUIS LATOUR 12/750 ML ALOXE CORTO "," 12","   639.190 ","          ","   51.290 ","          ","   13.500 ","   35.573 ","          ","    5.677 ","     .917 ","     .490 ","   746.637 "
"101279 ","LOUIS LATOUR 12/750 ML NUITS ST GE "," 12","   732.430 ","          ","   58.770 ","          ","   13.500 ","   39.738 ","          ","    6.780 ","     .620 ","     .330 ","   852.168 "
"101280 ","LOUIS LATOUR 12/750 ML GEVREY CHAM "," 12","   642.182 ","          ","   41.760 ","    4.055 ","   13.500 ","   33.070 ","  154.308 ","    5.965 ","     .260 ","     .100 ","   895.200 "
"101282 ","LOUIS LATOUR 12/750 ML CHARDONNAY  "," 12","   139.599 ","          ","    7.495 ","     .365 ","   36.000 ","    8.342 ","    7.507 ","    1.411 ","     .129 ","     .069 ","   200.917 "
"101283 ","LOUIS LATOUR 12/750 ML CHARDONNAY  "," 12","   132.695 ","    6.053 ","    6.518 ","     .860 ","   36.000 ","    6.518 ","    5.868 ","    1.044 ","     .102 ","     .064 ","   195.724 "
"101285 ","BPDR FRANCE 6/750  BPDR M.CADET RE ","  6","    85.995 ","          ","    7.514 ","    1.104 ","    6.750 ","    4.578 ","    9.101 ","     .879 ","     .156 ","     .083 ","   116.160 "
"101286 ","BPDR FRANCE 6/750  BPDR M.CADET RE ","  6","    96.223 ","          ","   10.600 ","     .641 ","   18.000 ","    5.455 ","    4.909 ","     .770 ","     .157 ","     .099 ","   136.855 "
"101287 ","B&G 12/750 BG CHATEAU MAGNOL       "," 12","   263.900 ","          ","   38.372 ","    3.334 ","   36.000 ","   15.208 ","   13.687 ","    2.180 ","     .962 ","     .514 ","   374.157 "
"101288 ","BPDR FRANCE 6/750  BPDR BARON D'AR ","  6","   357.029 ","          ","   18.108 ","    3.180 ","    6.750 ","   19.492 ","    8.286-","    3.516 ","     .250 ","     .096 ","   400.135 "
"101289 ","BERGERIE 12/750 KW ANJOU BLANC     "," 12","   197.598 ","          ","   20.200 ","          ","   13.500 ","    9.446 ","   20.362 ","    1.812 ","          ","          ","   262.918 "
"101290 ","BERGERIE 12/750 KW COTEAU DE LAYON "," 12","   214.184 ","          ","   21.850 ","          ","   13.500 ","   10.239 ","   17.170 ","    1.965 ","          ","          ","   278.908 "
"101294 ","PASSEPORT 12/750 BG PASSEPORT SANC "," 12","   209.300 ","          ","   29.970 ","    3.050 ","   13.560 ","   12.000 ","          ","    2.280 ","     .480 ","     .260 ","   270.900 "
"101295 ","LADOUCETTE 6/750  DL BARON DE L    ","  6","   462.436 ","          ","   42.348 ","    3.445 ","   18.400 ","   25.320 ","   22.790 ","    3.382 ","     .813 ","     .512 ","   579.446 "
"101296 ","LADOUCETTE 12/750 DL POUILLY FUME  "," 12","   334.627 ","          ","   30.644 ","    2.493 ","   36.000 ","   18.340 ","   16.500 ","    2.581 ","     .589 ","     .370 ","   442.143 "
"101297 ","LADOUCETTE 12/750 DL COMTE LAFONDS "," 12","   293.210 ","          ","    6.870 ","     .810 ","   36.000 ","   14.950 ","   13.460 ","    1.770 ","     .230 ","     .120 ","   367.420 "
"101298 ","LADOUCETTE 12/750 DL COMTE LAFONDS "," 12","   318.361 ","          ","   29.154 ","    2.372 ","   36.000 ","   17.440 ","   15.690 ","    2.466 ","     .560 ","     .352 ","   422.394 "
"101300 ","PASSEPORT 12/750 BG PASSEPORT MUSC "," 12","    81.683 ","          ","   18.002 ","    1.797 ","   36.000 ","    4.993 ","    4.493 ","     .865 ","     .440 ","     .277 ","   148.549 "
"101301 ","PASSEPORT 12/750 BG PASSEPORT VOUV "," 12","   104.359 ","          ","   19.465 ","    1.775 ","   36.000 ","    6.250 ","    5.625 ","     .979 ","     .375 ","     .200 ","   175.028 "
"101303 ","MOREAU 1/1500 MF CHABLIS 1CRUBOX   ","  1","    45.197 ","          ","    3.746 ","    4.323 ","    2.250 ","    2.705 ","          ","     .410 ","     .213 ","     .213 ","    59.055 "
"101305 ","MOREAU 12/750 MF SANCERRE          "," 12","   237.860 ","          ","   55.490 ","    3.188 ","   13.500 ","   14.280 ","   27.070 ","    2.470 ","    1.020 ","     .550 ","   355.428 "
"101306 ","MOREAU 12/750 MF VOUVRAY           "," 12","   105.587 ","          ","   20.019 ","    1.619 ","   36.000 ","    5.911 ","    5.320 ","    1.027 ","     .453 ","     .242 ","   176.177 "
"101307 ","LOUIS LATOUR 12/750 ML SAINT VERAN "," 12","   241.693 ","          ","   12.976 ","     .632 ","   36.000 ","   14.442 ","   12.998 ","    1.566 ","     .069 ","     .026 ","   320.402 "
"101311 ","MORTIER 12/750 JM CH. DU TERTRE    "," 12","   639.438 ","          ","   47.565 ","     .913 ","   13.500 ","   33.720 ","   51.360 ","    5.140 ","    2.185 ","    1.178 ","   795.000 "
"101312 ","THOMAS BARTON 12/750 BG THOMAS BAR "," 12","   109.200 ","          ","   10.736 ","    1.935 ","   13.500 ","    5.997 ","     .071-","    1.167 ","     .192 ","     .191 ","   142.847 "
"101313 ","THOMAS BARTON 6/750  BG THOMAS BAR ","  6","   209.300 ","          ","   41.959 ","    4.009 ","    6.750 ","   11.992 ","    6.693-","    2.383 ","     .271 ","     .147 ","   270.118 "
"101314 ","PASSEPORT 12/750 BG PASSEPORT MEDO "," 12","   127.109 ","          ","   23.709 ","    2.162 ","   36.000 ","    7.613 ","    6.851 ","    1.149 ","     .458 ","     .244 ","   205.294 "
"101315 ","B&G 6/750  BG CHATEAU VIEUX MAURAC ","  6","    62.240 ","          ","    9.500 ","    1.160 ","    6.750 ","    3.580 ","          ","     .590 ","     .330 ","     .190 ","    84.340 "
"101316 ","BPDR FRANCE 6/750  BPDR M.CADET RE ","  6","    99.609 ","          ","   10.973 ","     .664 ","   18.000 ","    5.647 ","    5.082 ","     .794 ","     .163 ","     .102 ","   141.033 "
"101318 ","BPDR CHILE 6/750  BPDR BARONESA P  ","  6","   359.450 ","          ","    9.920 ","     .630 ","   18.000 ","   20.320 ","   18.290 ","    2.740 ","    1.280 ","     .800 ","   431.430 "
"101320 ","BPDR FRANCE 12/750 BPDR CH. CLERC  "," 12","  1292.200 ","          ","   96.345 ","    8.835 ","   13.500 ","   68.670 ","   50.005 ","   12.750 ","    1.445 ","     .770 ","  1544.520 "
"101321 ","MORTIER 12/750 JM CH. HAUT BERGEY  "," 12","   721.163 ","          ","   23.548 ","    1.510 ","   13.500 ","   34.883 ","   29.203-","    5.522 ","    2.354 ","    1.324 ","   774.600 "
"101322 ","MORTIER 12/750 JM PLAISIR DE SIAUR "," 12","   207.389 ","          ","   22.870 ","     .937 ","   13.500 ","   15.648 ","   38.920 ","    1.780 ","    3.823 ","    2.041 ","   306.909 "
"101323 ","MORTIER 6/750  JM CH. LE CARILLON  ","  6","   191.557 ","          ","   38.110 ","     .558 ","    6.750 ","   10.070 ","    8.723-","    1.772 ","    6.956 ","    3.750 ","   250.800 "
"101324 ","BERGERIE 12/750 KW ANJOU LA CERISA "," 12","   143.552 ","          ","   14.653 ","          ","   13.500 ","    6.862 ","   10.574 ","    1.316 ","          ","          ","   190.457 "
"101325 ","E.GUIGAL 12/750 EG COTE ROTIE      "," 12","   679.060 ","    2.900 ","   46.940 ","    1.810 ","   36.000 ","   36.570 ","   32.910 ","    4.300 ","     .520 ","     .280 ","   841.290 "
"101326 ","E.GUIGAL 12/750 EG CONDRIEU        "," 12","   639.700 ","    2.720 ","   34.180 ","    2.970 ","   36.000 ","   32.640 ","   29.370 ","    4.400 ","     .860 ","     .460 ","   783.300 "
"101327 ","E.GUIGAL 12/750 EG CROZES HERMITAG "," 12","   223.551 ","          ","    9.537 ","    1.111 ","   13.500 ","   11.899 ","    2.254-","    1.969 ","     .193 ","     .175 ","   259.680 "
"101328 ","E.GUIGAL 12/750 EG CHATEAUNEUF DU  "," 12","   511.130 ","    2.180 ","   35.330 ","    1.360 ","   36.000 ","   27.530 ","   24.770 ","    3.240 ","     .390 ","     .210 ","   642.140 "
"101329 ","E.GUIGAL 12/750 EG GIGONDAS        "," 12","   325.110 ","    1.230 ","   24.410 ","          ","   13.500 ","   18.120 ","          ","    2.868 ","    1.040 ","    1.156 ","   387.434 "
"101331 ","E.GUIGAL 12/750 EG COTES DU RHONE  "," 12","   143.580 ","     .610 ","    7.670 ","     .670 ","   36.000 ","    7.330 ","    6.590 ","    1.150 ","     .190 ","     .100 ","   203.890 "
"101333 ","E.GUIGAL 12/750 EG COTES DU RHONE  "," 12","   145.226 ","    1.292 ","   14.846 ","     .372 ","   13.500 ","    8.178 ","   25.868 ","    1.354 ","    1.228 ","     .656 ","   212.520 "
"101334 ","PASSEPORT 12/750 BG PASSEPORT CHAT "," 12","   318.500 ","          ","   46.311 ","    4.023 ","   36.000 ","   18.355 ","   16.519 ","    2.588 ","    1.161 ","     .620 ","   444.077 "
"101335 ","PASSEPORT 12/750 BG PASSEPORT COTE "," 12","    82.810 ","          ","   21.743 ","    2.151 ","   36.000 ","    5.212 ","    4.691 ","     .898 ","     .620 ","     .331 ","   154.456 "
"101338 ","PASSEPORT 6/750  BG PASSEPORT SAUT ","  6","   122.486 ","          ","   17.810 ","    1.547 ","   18.000 ","    7.059 ","    6.353 ","    1.020 ","     .446 ","     .238 ","   174.959 "
"101339 ","BPDR FRANCE 6/750  BPDR M.CADET RE ","  6","   148.110 ","          ","    9.800 ","    1.850 ","    6.750 ","    7.570 ","          ","    1.230 ","     .480 ","     .250 ","   176.040 "
"101340 ","THOMAS BARTON 6/750  BG THOMAS BAR ","  6","    86.270 ","          ","   13.170 ","    1.610 ","    6.750 ","    4.970 ","          ","     .800 ","     .460 ","     .260 ","   114.290 "
"101341 ","PASSEPORT 12/750 BG PASSEPORT ST.  "," 12","   141.960 ","          ","   23.439 ","    1.276 ","   13.500 ","    7.544 ","    1.076 ","    1.535 ","     .153 ","     .082 ","   190.564 "
"101342 ","B&G 6/750  BG CH. YON LAVALLADE    ","  6","    91.000 ","          ","   13.232 ","    1.150 ","   18.000 ","    5.244 ","    4.720 ","     .785 ","     .332 ","     .177 ","   134.639 "
"101343 ","BPDR FRANCE 6/750  BPDR M.CADET RE ","  6","   120.120 ","          ","   13.350 ","     .960 ","    6.750 ","    7.380 ","          ","     .870 ","     .280 ","     .150 ","   149.860 "
"101344 ","BPDR FRANCE 6/750  BPDR MERLOT     ","  6","    41.733 ","    5.585 ","    3.519 ","     .578 ","   18.000 ","    2.545 ","    2.290 ","     .437 ","     .157 ","     .089 ","    74.933 "
"101345 ","BPDR FRANCE 6/750  BPDR CABERNET S ","  6","    41.733 ","    5.585 ","    3.519 ","     .578 ","   18.000 ","    2.546 ","    2.291 ","     .437 ","     .157 ","     .089 ","    74.935 "
"101346 ","BPDR FRANCE 6/750  BPDR SAUVIGNON  ","  6","    41.733 ","    5.585 ","    3.519 ","     .578 ","   18.000 ","    2.545 ","    2.290 ","     .437 ","     .157 ","     .089 ","    74.933 "
"101347 ","BPDR FRANCE 6/750  BPDR CHARDONNAY ","  6","    41.733 ","    5.585 ","    3.519 ","     .578 ","   18.000 ","    2.543 ","    2.289 ","     .437 ","     .157 ","     .089 ","    74.930 "
