"ITEM   ","DESCRIPT                           ","U/C","    COST01 ","   COST02 ","   COST03 ","   COST04 ","   COST05 ","   COST06 ","   COST07 ","   COST08 ","   COST09 ","   COST10 ","    TOTAL  "
"00806  ","PERRIER LI CAN 30/250              "," 30","    18.624 ","          ","    6.748 ","    1.029 ","     .750 ","    1.060 ","     .950 ","     .140 ","     .260 ","     .140 ","    29.701 "
"00807  ","PER GRAPEFR CA 30/250              "," 30","    24.090 ","     .630 ","    2.620 ","     .050 ","     .750 ","    1.190 ","          ","     .210 ","     .150 ","     .080 ","    29.770 "
"00808  ","PERRIER ORANGE 30/250              "," 30","    23.890 ","     .510 ","    3.130 ","     .190 ","     .750 ","    1.150 ","          ","     .210 ","     .260 ","     .140 ","    30.230 "
"00809  ","PERRIER STRAWB 30/250              "," 30","    23.890 ","     .510 ","    3.130 ","     .190 ","     .750 ","    1.150 ","          ","     .210 ","     .260 ","     .140 ","    30.230 "
"00810  ","PERRIER LI CAN 35/250              "," 35","    27.880 ","     .600 ","    3.650 ","     .230 ","     .880 ","    1.340 ","          ","     .240 ","     .300 ","     .170 ","    35.290 "
"00811  ","GY FONTANOVA W 12/1L               "," 12","    15.890 ","          ","     .870 ","     .020 ","    1.030 ","     .840 ","          ","     .130 ","     .050 ","     .027 ","    18.857 "
"00813  ","GY MANGO 12/1L                     "," 12","    15.890 ","          ","     .870 ","     .020 ","    1.030 ","     .840 ","          ","     .130 ","     .050 ","     .027 ","    18.857 "
"00814  ","GY GUAVA 12/1L                     "," 12","    15.890 ","          ","     .870 ","     .020 ","    1.030 ","     .840 ","          ","     .130 ","     .050 ","     .027 ","    18.857 "
"00815  ","GY PASSIONFRUT 12/1L               "," 12","    15.890 ","          ","     .870 ","     .020 ","    1.030 ","     .840 ","          ","     .130 ","     .050 ","     .027 ","    18.857 "
"00816  ","BLACKTEA LEMON 16/250              "," 16","    19.621 ","     .449 ","    7.184 ","     .069 ","     .401 ","    1.349 ","    1.214 ","     .168 ","     .213 ","     .114 ","    30.780 "
"00817  ","BLACKTEA PEACH 16/250              "," 16","    19.621 ","     .449 ","    7.184 ","     .069 ","     .401 ","    1.349 ","    1.214 ","     .168 ","     .213 ","     .114 ","    30.780 "
"02001  ","SP AUTHENTIS C 4808000             "," 12","    42.820 ","     .660 ","    8.970 ","     .080 ","          ","          ","          ","     .400 ","     .230 ","     .120 ","    53.280 "
"02002  ","SP AUTHENTIS C 4800277             "," 12","    42.820 ","     .660 ","    8.970 ","     .080 ","          ","          ","          ","     .400 ","     .230 ","     .120 ","    53.280 "
"02003  ","SP AUTHENTIS C 4808001             "," 12","    42.820 ","     .660 ","    8.970 ","     .080 ","          ","          ","          ","     .400 ","     .230 ","     .120 ","    53.280 "
"02004  ","SP AUTHENTIS C 4808002             "," 12","    42.820 ","     .660 ","    8.970 ","     .080 ","          ","          ","          ","     .400 ","     .230 ","     .120 ","    53.280 "
"02005  ","SP FESTIVAL 4020277                ","  6","    21.410 ","     .330 ","    4.490 ","     .040 ","          ","          ","          ","     .200 ","     .120 ","     .060 ","    26.650 "
"02006  ","SP FESTIVAL 4020100                ","  6","    21.410 ","     .330 ","    4.490 ","     .040 ","          ","          ","          ","     .200 ","     .120 ","     .060 ","    26.650 "
"02007  ","SP FESTIVAL 4028001                ","  6","    20.790 ","     .320 ","    4.360 ","     .040 ","          ","          ","          ","     .200 ","     .110 ","     .060 ","    25.880 "
"02008  ","SP FESTIVAL 4028007                ","  6","    20.790 ","     .320 ","    4.360 ","     .040 ","          ","          ","          ","     .200 ","     .110 ","     .060 ","    25.880 "
"02009  ","SP WINELOVERS 4098001              "," 12","    28.959 ","     .901 ","    5.030 ","     .673 ","          ","          ","    1.457 ","     .209 ","     .175 ","     .094 ","    37.498 "
"02010  ","SP WINELOVERS 4090001              ","  6","     7.580 ","     .120 ","    1.590 ","     .010 ","          ","          ","          ","     .070 ","     .040 ","     .020 ","     9.430 "
