"     ","    OZ/","       "
"ITEM ","   CASE","   ALC%"
"02044","    1.0","       "
"02045","    1.0","       "
"02046","    1.0","       "
"02047","    1.0","       "
"02048","    1.0","       "
"02049","    1.0","       "
"02050","    1.0","       "
"02051","    1.0","       "
"02052","    1.0","       "
"02053","    1.0","       "
"02054","    1.0","       "
"02055","    1.0","       "
"02056","    1.0","       "
"02057","    1.0","       "
"02058","    1.0","       "
"02059","    1.0","       "
"02060","    1.0","       "
"02061","    1.0","       "
"02062","    1.0","       "
"02063","    1.0","       "
"02064","    1.0","       "
"02065","    1.0","       "
"02066","    1.0","       "
"02067","    1.0","       "
"02068","    1.0","       "
"02069","    1.0","       "
"02070","    1.0","       "
"02071","    1.0","       "
"02072","    1.0","       "
"02073","    1.0","       "
"02074","    1.0","       "
"02075","    1.0","       "
"02076","    1.0","       "
"02077","    1.0","       "
"02078","    1.0","       "
"02079","    1.0","       "
"02080","    1.0","       "
"02081","    1.0","       "
"02082","    1.0","       "
"04000","   50.7","       "
"04003","  101.4","       "
"04004","  101.4","       "
"04007","  101.4","       "
"04008","  101.4","       "
"04011","  101.4","       "
"04013","  101.4","       "
"04014","  101.4","       "
"04020","  101.4","       "
"04021","  101.4","       "
"04022","  101.4","       "
"04023","  101.4","       "
"04033","  480.0","       "
"04034","  240.0","       "
"04035","  336.0","       "
"04036","  192.0","       "
"04037","  144.0","       "
"04038","  182.6","       "
"04039","  182.6","       "
"04040","  182.6","       "
"04041","  182.6","       "
"04042","  182.6","       "
"04065","   16.2","       "
"04068","   16.2","       "
"04070","   16.2","       "
"04087","  182.6","       "
"04088","  101.4","       "
"04089","  101.4","       "
"04090","  480.0","       "
"04098"," 4057.7","       "
"04099","  202.9","       "
"04100","  144.0","       "
"04101","   95.2","       "
"07001","  223.2","    4.0"
"07002","  223.2","    4.0"
"07003","  223.2","    4.0"
"07004","  223.2","    4.0"
"07005","   55.8","    4.0"
"07006","   55.8","    4.0"
"07007","   55.8","    4.0"
"09701","    1.0","       "
"09705","    1.0","       "
"09706","    1.0","       "
"09707","    1.0","       "
"09708","    1.0","       "
"09710","    1.0","       "
"09716","    1.0","       "
"09717","    1.0","       "
"09718","    1.0","       "
"09719","    1.0","       "
"09721","    1.0","       "
"09722","    1.0","       "
"09723","    1.0","       "
"09729","    1.0","       "
"09732","    1.0","       "
"09739","    1.0","       "
"09740","    1.0","       "
"09743","    1.0","       "
"09745","    1.0","       "
"09750","    1.0","       "
"09753","    1.0","       "
"09755","    1.0","       "
"09758","    1.0","       "
"09759","    1.0","       "
"09760","    1.0","       "
"09761","    1.0","       "
"09762","    1.0","       "
"09763","    1.0","       "
"09764","    1.0","       "
"09765","    1.0","       "
"09766","    1.0","       "
"09767","    1.0","       "
"09768","    1.0","       "
"09769","    1.0","       "
"09770","    1.0","       "
"09773","    1.0","       "
"09774","    1.0","       "
"09775","    1.0","       "
"09776","    1.0","       "
"09777","    1.0","       "
"09778","    1.0","       "
"09779","    1.0","       "
"09780","    1.0","       "
"09781","    1.0","       "
"09782","    1.0","       "
"09783","    1.0","       "
"09784","    1.0","       "
"09785","    1.0","       "
"09786","    1.0","       "
"09787","    1.0","       "
"09788","    1.0","       "
"09789","    1.0","       "
"09790","    1.0","       "
"09791","    1.0","       "
"09792","    1.0","       "
"09793","    1.0","       "
"09794","    1.0","       "
"09795","    1.0","       "
"09797","    1.0","       "
"09798","    1.0","       "
"09801","    1.0","       "
"09802","    1.0","       "
"09803","    1.0","       "
"09804","    1.0","       "
"09805","    1.0","       "
"09806","    1.0","       "
"09807","    1.0","       "
"09808","    1.0","       "
"09809","    1.0","       "
"09810","    1.0","       "
"09811","    1.0","       "
"09812","    1.0","       "
"09813","    1.0","       "
"09814","    1.0","       "
"09815","    1.0","       "
"09816","    1.0","       "
"09817","    1.0","       "
"09818","    1.0","       "
"09819","    1.0","       "
"09820","    1.0","       "
"09821","    1.0","       "
"09823","    1.0","       "
"09824","    1.0","       "
"09825","    1.0","       "
"09826","    1.0","       "
"09828","    1.0","       "
"09829","    1.0","       "
"09830","    1.0","       "
"09835","    1.0","       "
"09836","    1.0","       "
"09837","    1.0","       "
"09934","    1.0","       "
"09959","    1.0","       "
"09960","    1.0","       "
"09961","    1.0","       "
"09962","    1.0","       "
"09963","    1.0","       "
"09964","    1.0","       "
"09970","    1.0","       "
"09971","    1.0","       "
"09972","    1.0","       "
"09975","    1.0","       "
"09976","    1.0","       "
"09977","    1.0","       "
"09978","    1.0","       "
"09979","    1.0","       "
"09984","    1.0","       "
"09998","    1.0","       "
"09999","    1.0","       "
"99888","    1.0","       "
